fighter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301
Adrian Yanez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevin Giles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00024098990388785982,0.00032690357255219736,1.2619954969764849e-05,1.7367950310417728e-05,3.749536761521894e-05,0.0010737120038127627,0.000830331482651114,0.0007069577315738424,0.005581666789784462,0.0051086990200133,0.0050100795062612636,0.003899985807569957,0.0065252000006283326,0.0013752761428919606,0.04091222352625655,0.04290575915181144,0.04523108165340505,0.007323852215609647,0.057516668914273816,0.043758328167873346,0.005052022611000684,0.005138310140049012,0.005151423818190502,0.006163003264182238,0.004296403411853915,0.02415112575980162,0.01680182371488385,0.004327763746780312,0.006588283498715978,0.0038162805875893357,0.005677773317735826,0.003923864423532701,0.0025996820070992624,6.5214998290762485e-06
Tai Tuivasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002535734277012131,0.00028579115716659335,0.001981612419600368,0.007963916751515933,0.00045350250477937915,5.542247529038903e-05,0.0002557870123081231,0.019367954081085343,0.10889157358096474,9.073445934740628e-05,0.11324820722039003,0.09892666367276311,0.10584584918537875,0.1286860484481639,0.045028129422714794,0.03486882083003803,0.021817069278696383,0.041239893060906314,0.017499183222680535,0.015349585455973487,0.011589557984595678,0.025342002038924828,0.019559978661720382,0.269670487633,0.031753678178147095,0.20062928627658638,0.25925089929951317,0.003140294254026463,0.0011475564347711601,0.01007184421211024,0.0013880727536743714,0.18673375792235747,0.14434732481538523,0.14926006895072697,0.16232303159961856,0.16689879447954484,0.11617045520123329,0.11396950823861783,0.11773112294591563,0.0003489718338686806
Cheyanne Buys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion Reneau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70140572361721e-05,2.4063639493232053e-05,3.958195293053499e-06,0.002341082689556043,0.0015579489441093534,0.001667354465725231,0.0005700322669640642,0.0014343344500513937,0.0016387338262755416,0.002185627133129698,0.005473422182498796,0.005053010362848672,0.0035316557122296952,0.012106776436045267,0.015910636327026818,0.024782262992460634,0.029724257015582504,0.045022170226620674,0.04806034982400071,0.041043124592636315,0.041731568894286385,0.041700537861160354,0.05280390982228652,0.05375431237263847,0.07343734550207756,0.06198923121648344,0.05231171140063552,0.02437464408973714,0.039946922977904725,0.03924636570876219,0.036441664017018385,0.04447680628490398,0.035946928693079465,0.014261936833830422,0.013668324755792369,0.01514788908171668,0.01848611300278942,0.01958530036071821,0.03579846231318768,0.03079116308902072,0.02509116973745934,0.01603760570567946,0.029231740890724594,0.029035260459355495,0.00451360276964665,0.005549653559293751,0.020052441655088845,0.02497973019287741,,,,2.7184882493500845e-05,3.480082259666306e-05,8.839914047690228e-06,2.20822296466979e-05,1.5222171921118144e-06,7.265277933356473e-05,,,,,,,,,0.00018422402738303963,0.0001186802832679645,2.2107263414578836e-05,1.0410213179791953e-05,1.1257906179412721e-05,1.1114568514831744e-05,1.9736007267393466e-05,3.8610570762012514e-05,3.4143115576460117e-06,0.00039054723559309775,1.8038131865011124e-05,2.459302838165097e-05,0.0004411047585902649,1.3137603046696826e-05,0.00026733862534542404,5.066594099327173e-07,2.117261812019513e-06,7.143107141086108e-08,1.2253776161472413e-06,1.1501299237534698e-07,5.696229028396524e-08,4.189847911864723e-07
Song Kenan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011637650622735118,0.0004406819023569536,0.0003284473791314801,0.0004861004966730817,9.914981107332953e-05,7.416337048373163e-05,7.24747816603925e-05,0.0001196599805007293,7.7646260914951e-06,0.0001804691797188643,7.948889659937496e-07,1.4547158885415434e-05,0.0001243044044376959,3.838581791228155e-05,0.0001949234197119632,0.00047392943962359685,0.000282321500283708,0.00045890038151483685,0.00044694452318039344,0.00028998797146507696,0.00020144189038257172,0.00041421246349169436,0.0003255774324483163,0.0003590453438389168,0.000818551805489086,0.0014456436342073502,0.00016901331831690864,0.023198345353136512,0.018792750988520995,0.03392923499344146,0.03040658963824779,0.0006494750690024552,0.009073024354331462,0.00012011305454780042,0.0004067283128704763,0.00012946044585665883,0.00017031620597240463,0.00013290210547911842,8.733659550172887e-05,5.64592962108525e-07
Derek Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.493581413743208e-05,0.00020374822261499226,0.00013785144251828585,0.00019844334397531074,0.00011328458926923766,0.00011322866227632171,0.00010818278380402859,7.874085163491684e-05,3.981665165256327e-05,5.808383198964734e-05,2.242397647381229e-05,8.037097337603044e-05,5.602698263155499e-05,5.20257642747037e-05,3.620319114976463e-05,9.202697001789824e-05,0.00020107071007115462,0.0004907449593161481,0.00027226347556587283,0.00020227029109871444,0.0011975279854099677,0.0010831023439764403,0.0013254277606616482,0.0010001864930374636,0.000840121687891534,0.0018124065493468349,0.0007907183882318419,0.0004569852412472808,0.0018611084100728119,0.0010604720458207311,0.005954306803153972,0.015613956955580165,0.02572024191176282,0.02324665462007674,0.008480745138924885,0.007348263885451775,0.026276322007268888,0.012605772792749824,0.007918308253880367,0.007050287461427409,0.008042287169966498,0.03504934266779124,0.025687548359154648,0.03846225453904703,0.009233253918869977,0.025013508353516276,0.02029402561089939,0.061519381252119316,0.10653571543259453,0.061081276458783876,0.035776470869396636,0.07458273613405451,0.12868813175073263,0.16270088653232334,0.08368281092927815,0.030721811173113164,0.13392301197466003,0.14340071165477905,0.08730166374034516,0.05719695929932492,0.10342427195476908,0.1282479735016297,0.10555399890374012,0.09747468780724364,0.09699576356230072,0.09711806364341828,0.09798636039567679,0.0033555672367835167,0.0005611196619904115,0.0005826907123693759,0.019925666086499885,0.00885107386679013,0.0069608341500494355,0.0626091949691727,0.03036084400373596,0.031149628645121517,0.11664367248200469,0.09159254303475331,0.0720445503019324,0.07765427867866476,0.09114610905010487,0.09535048092649889,0.008427238191768206,0.10873528356414387,0.07530015050350385,0.0035077890197983412,0.0023581058957053568,0.0016180843770798607,0.0025602616206023576,0.0013174366094572247,0.0184589056866941,0.02042604586430581,0.00487221888704302,0.0072014814012526475,0.0022578051398538046,0.0014154419462479083,0.000926494548941098,0.0006250592699133133,1.7928988186797202e-06
Montel Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3665768754767842e-08,0.0007651546247373,3.83085296328754e-08,4.908549558898242e-10,1.6466638179236286e-10,1.927644327319845e-08,7.94317230262847e-07,1.6932175114372374e-05,5.1553773442150886e-06,1.2386340507486318e-06,0.00011563238910560514,7.570954919095109e-05,4.440728223369195e-07,3.0061506049429876e-07,7.056321585348079e-07,6.412510684061933e-07,3.262228783178119e-07,5.61926229434715e-06,3.8564457009026837e-07,4.60806048411879e-05,5.5307880217880115e-05,2.6734784715894415e-05,0.0003054506323402484,1.247811823761249e-05,5.939075356819611e-05,1.8890138414187873e-07,3.603797734128121e-07,3.728483978506552e-08,4.3056276050972655e-07,1.932413058537771e-06,6.851599218758323e-06,0.0005982889834813128
Bruno Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4474566988740793e-09,6.508233275316865e-07,5.288945834855044e-07,1.6122042437409122e-06,4.9777735276797426e-08,3.233812222563816e-06,2.306998733438106e-06,1.431903644795816e-06,1.4802404204394084e-06,1.6104806792378097e-07,8.751710410642935e-06,8.974941983664097e-11,9.282647491961032e-08,6.313777714696165e-08,2.618347112425953e-06,0.00019439363652669356,0.00011697957914129436,0.018258980397883578
