fighter,1994-03,1994-04,1994-05,1994-06,1994-07,1994-08,1994-09,1994-10,1994-11,1994-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1996-01,1996-02,1996-03,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
Adrian Yanez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevin Giles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003430531732418525,0.0035026269702276703,0.003472222222222222,0.0035650623885918,0.0035714285714285713,0.0035460992907801418,0.003861003861003861,0.0036036036036036037,0.0035714285714285713,0.0035587188612099647,0.0035398230088495575,0.003484320557491289,0.015580157944415555,0.0035335689045936395,0.11098377615001213,0.04929332345818007,0.1962008456718348,0.06688343094962566,0.06372110441024555,0.11195793008503264,0.08150264616314565,0.09055750446203972,0.07901103988342598,0.06928437982920577,0.1957996038128883,0.2493130674681854,0.08248572959268549,0.06403834323404754,0.055584170396815215,0.07611190518093204,0.06402311090091342,0.05378409579744208,0.09385161366869522,0.057758424411900953
Tai Tuivasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.002861962229361639,0.0024594920184722877,4.878524734120402e-05,4.472271914132379e-05,0.0015584310740322962,0.002821846605105756,0.002722732322875777,0.0024365579761013,0.002016749533693938,0.004299929375510584,0.01665953964931581,0.018652029950108163,0.014161412942565106,0.01679680750265909,0.016284528477860594,0.013778271454266126,0.014051103477133065,0.018924975717938847,0.01839283304174022,0.021062913980663813,0.025884799900727305,0.02158331529686703,0.013772604089393908,0.01694302192133474,0.013694504338789975,0.023062797198547553,0.023182395573405838,0.019117152275622593,0.0018332448773934413,0.0018083386583319396,0.003110277586917369,0.003310055799506606,0.001709745949660012,0.0010970361364858866,0.00048796531679604516,0.00024903227776840447,0.00035794257716846546,0.0007263775783212788
Cheyanne Buys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion Reneau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.03186727315079022,0.013342355866049446,0.008943942888251809,0.011714289438990411,0.012378858016799074,0.011969859796308371,0.012933039836572447,0.015179588724618132,0.0164073315814598,0.015290040120131885,0.014327113711558696,0.014009772863755083,0.021902005733682256,0.024627064973215356,0.013934130234478608,0.009698395236706552,0.010107742671059041,0.012583482235911055,0.012129740901182866,0.01469029141605704,0.013211040709594356,0.015226808218077575,0.013950234279801337,0.01759704915275978,0.010130398078464014,0.0035117309916937976,0.005659312114359665,0.0037125306469730363,0.0029197989110357086,0.010507685833807767,0.011592575920412806,0.008592516181634197,0.007877152148412416,0.00899566527172301,0.011908795779554612,0.017201811177823743,0.002885405441115144,0.0028694699356252565,0.004508847309967761,0.0047164640777237424,0.006495750794476076,0.013652946193829424,0.006920373579818987,0.0069807600455586444,0.007042209633493497,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034602076124567475,0.0034423407917383822,0.003430531732418525,0.0033388981636060097,0.003316749585406302,0.003372681281618887,0.00338409475465313,0.0033783783783783786,0.003367003367003367
Song Kenan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035026269702276703,0.003472222222222222,0.0035650623885918,0.0035714285714285713,0.0035460992907801418,0.010761345116789426,0.01174718200812317,0.00986613031671171,0.010676153424525277,0.009869109634690504,0.00447207624041453,0.003768088780831519,0.006834265500338644,0.007389760221874432,0.009021118562527805,0.010644295661360523,0.013038538049822695,0.010983797357212239,0.009391965027622415,0.009682439316205592,0.01440749102079553,0.013987433938317435,0.014090568895292551,0.025624931741942948,0.01458774247410631,0.012757987778942645,0.019166297486528486,0.04413483127767019,0.03776068226646807,0.022296916538088764,0.013654437762886528,0.012672427785148002,0.014419030558906292
Derek Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004073319755600814,0.004132231404958678,0.004032258064516129,0.005985740258738843,0.015233985906380117,0.00853390209533238,0.0021085033009217275,0.0019179181944835447,0.002605782154789909,0.006870618874954051,0.013307028698050455,0.009064231334144567,0.009803738630103458,0.00968412154097215,0.0018927407670863159,0.004502212155124102,0.003946220569066421,0.005393483032316452,0.004663570232968138,0.0048711230245170895,0.007170816827920322,0.013376552389801746,0.014621653906730401,0.014494669769802562,0.014796821849085597,0.01420031019948459,0.014942487919241696,0.011497028052297888,0.017329795969707854,0.02404360378831018,0.02055622925130417,0.024534167989174082,0.043575914983458024,0.05597904086858821,0.011842522858910784,0.009698857239084967,0.010658924767030276,0.011490417526270445,0.018958369870654742,0.04347604400652256,0.016671243535919922,0.015385844797287976,0.0175475842166272,0.03968781761971772,0.06080936404189318,0.19280687371119667,0.14438152500776014,0.11037601913605094,0.09026241283386015,0.10677540637110736,0.07586336459284344,0.09967822657255106,0.022746891724288513,0.029947550738668588,0.026517103061363224,0.02461493634348963,0.010859064750571404,0.011708894617987362,0.011229217650486442,0.008504403566815071,0.01730504663034234,0.015495512254171997,0.02470132414213628,0.02337844346396622,0.022992449629244606,0.022935150029166896,0.017069286965683373,0.01172303115055021,0.028253351574725166,0.02521060111621637,0.008127305876078267,0.00954211569395429,0.021793684494293156,0.01468777849984459,0.01616589561730788,0.013864752429449538,0.009424452162647754,0.010547877555445704,0.023307623356626166,0.05083620914877146,0.04349102611137956,0.015206508131525836,0.016224748271177317,0.016330145494147356,0.006230003025207443,0.006677684581500675,0.006184774409059984,0.004339571170154925,0.004933269632538886
Montel Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.007279209372010394,0.0034943830336298565,0.003608331229092351,0.0032973557359745023,0.0034427571744987027,0.0031776440368209806,0.0037136110977032295,0.007973938175586818,0.005217805461479846,0.004405923280883064,0.005215058649459492,0.010559595722482159,0.005193436159446015,0.013992069973084525,0.018709147614080192,0.01676707995300069,0.013555439767404908,0.02121782090285013,0.018314570920139533,0.013815502480824818,0.015336646816430282,0.01435690285808374,0.01064427283201499,0.018885703987938384,0.014606007097188378,0.007411183874307187,0.007454349341177148
Bruno Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.003389830508474576,0.003389830508474576,0.0034482758620689655,0.0034602076124567475,0.0034423407917383822,0.003430531732418525,0.007578931192554388,0.006740769073824563,0.00619173588187079,0.007493062668146552,0.006644276092245636,0.009647624932003282
Manel Kape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Misha Cirkunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010631909635089094,0.013774999492583416,0.14872386393580148,0.016874210513117955,0.06813078782419373,0.04693648242213862,0.0471071854636726,0.03437405465929882,0.10177752861964215,0.13407595790848134,0.036213903354914805,0.07430846548399461,0.043510635261569376,0.06182942434373202,0.05503036902811512,0.05542342317797432,0.029680430870808308,0.05089554677833754,0.019370091801351085,0.020828780351690262,0.0181448596011989,0.08741967522411734,0.0035031343455256495,0.004227838518327439,0.0008531197484685857,0.0070775008667248685,0.0031343432708668315,0.0010041143815215853,0.0024657387752430432,0.010413834123718936,0.013231860402582726,0.009677950519879911,0.003558230711912687,0.0049608529016109,0.005186588274520113,0.0065693345858277305,0.004997565988433895,0.0036840770193872284,0.007299708918367227,0.0024888344951627503,0.0019625585647444965,0.0018641419112410743,0.003408481040021079,0.01734970484349232,0.020324371960069667,0.02027381461424629,0.020028485960797857,0.007976084549237608,0.026715155756311306,0.0006553217144777614,0.0018898027968308694,0.0011930367948607646,0.0021077027898093893,0.0
Leon Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.010221285563751317,0.0037614224942992052,0.007556611950809902,0.0071332938213165544,0.011379047028949084,0.01228413223723199,0.01250595399347381,0.01095316748851626,0.005436564916708712,0.018626100497449827,0.016739910754286377,0.018241735865692457,0.018662848305330836,0.025301397987476614,0.02234801673207016,0.028094949777967847,0.021973763621127518,0.024103176733934927,0.03827878667041369,0.040747240955824535,0.018263261319269756,0.01843977175465092,0.01661397439254156,0.016837229820703792,0.03347268699652846,0.029144125997851645,0.026769801926122806,0.01658928551943515,0.020603237483403092,0.027489882274199115,0.03202228740587812,0.028917290198050404,0.025780325063842934,0.009408422644778546,0.0077805956760957,0.007230889028144004,0.012289726893438798,0.009432443396119376,0.009326959836676722,0.013751519604067107,0.012451554790722531,0.009722544341022748,0.007009457758004266,0.007502583268556627,0.013867397481154892,0.02149895711861428,0.028676529833132142,0.019895429105080232,0.008309331023652484,0.009877113153188172,0.012757900856562638,0.018741056191417495,0.010361572420845979,0.006945584348286698,0.013866328352018873,0.009207104546178138,0.011736576374755085,0.010841960434432814,0.013935040015345176,0.012289700840563845,0.00256753446960789,0.004772528297014264,0.004259607034097568,0.0022431479394772434,0.003384657256627225,0.003468878484685294,0.002204566097827767,0.005196080473538809,0.00988711263174948,0.011070638071597244,0.006003603148273199,0.00877033801588662
Charles Jourdain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14314396690407316,0.003430531732418525,0.003372681281618887,0.003389830508474576,0.003389830508474576,0.0034482758620689655,0.00740598584385503,0.011408660709291914,0.012128749087744101,0.03964726704652756,0.13158783601087307,0.14031401582770894,0.11291476258584676,0.02294101727794623,0.01934745595382314
Eryk Anders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.003527336860670194,0.0036036036036036037,0.0037802104788219257,0.0044428371381518995,0.004714459172942928,0.004961802375405585,0.013840309337294361,0.014876361572246246,0.014824800803061616,0.019277340895505767,0.013570218080184866,0.015733223702999427,0.02069026611094109,0.1027699208292994,0.0878623636593285,0.08990190904118978,0.09400657515868403,0.12754717911304322,0.09839128505985,0.1699552857568441,0.10066980086126273,0.06688992325160001,0.14783831357452057,0.08800003668836671,0.08169300104178157,0.11007194940357024,0.060481299895649085,0.05278305883949818,0.04906546994254451,0.04610230509733385,0.1437737100646403,0.18926482710132975,0.10358434473213728,0.09433786407987041,0.10523111147943469,0.08944356706178093,0.06221562219028778,0.11315703162313118,0.17583633264382204,0.16428046623516215
Angela Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.014693929759457438,0.008648512710375547,0.012261551016886403,0.013653629079820479,0.010382534529148918,0.0016410882131033038,0.016312817571009042,0.039660905685582684,0.01664551093649618,0.025382077009700438,0.015331333680767651,0.01427989201335051,0.04127784725899935,0.027490870734544377,0.01267544132634328,0.011801408666822586,0.010795718915247221,0.00959973089373745,0.03333373282795845,0.07170388816116936,0.02985377814817111,0.011394333273513744,0.010165066370272938,0.009447705821924546,0.005336628339763602,0.005427226492005818
