star_date,end_date,PPVmean,googleMean
1994-03-11,1996-03-11,,
1994-04-11,1996-04-11,,
1994-05-11,1996-05-11,,
1994-06-11,1996-06-11,,
1994-07-11,1996-07-11,,
1994-08-11,1996-08-11,,
1994-09-11,1996-09-11,,
1994-10-11,1996-10-11,,
1994-11-11,1996-11-11,,
1994-12-11,1996-12-11,,
1995-01-11,1997-01-11,,
1995-02-11,1997-02-11,,
1995-03-11,1997-03-11,,
1995-04-11,1997-04-11,,
1995-05-11,1997-05-11,,
1995-06-11,1997-06-11,,
1995-07-11,1997-07-11,,
1995-08-11,1997-08-11,,
1995-09-11,1997-09-11,,
1995-10-11,1997-10-11,,
1995-11-11,1997-11-11,,
1995-12-11,1997-12-11,,
1996-01-11,1998-01-11,,
1996-02-11,1998-02-11,,
1996-03-11,1998-03-11,,
1996-04-11,1998-04-11,,
1996-05-11,1998-05-11,,
1996-06-11,1998-06-11,,
1996-07-11,1998-07-11,,
1996-08-11,1998-08-11,,
1996-09-11,1998-09-11,,
1996-10-11,1998-10-11,,
1996-11-11,1998-11-11,,
1996-12-11,1998-12-11,,
1997-01-11,1999-01-11,,
1997-02-11,1999-02-11,,
1997-03-11,1999-03-11,,
1997-04-11,1999-04-11,,
1997-05-11,1999-05-11,,
1997-06-11,1999-06-11,,
1997-07-11,1999-07-11,,
1997-08-11,1999-08-11,,
1997-09-11,1999-09-11,,
1997-10-11,1999-10-11,,
1997-11-11,1999-11-11,,
1997-12-11,1999-12-11,,
1998-01-11,2000-01-11,,
1998-02-11,2000-02-11,,
1998-03-11,2000-03-11,,
1998-04-11,2000-04-11,,
1998-05-11,2000-05-11,,
1998-06-11,2000-06-11,,
1998-07-11,2000-07-11,,
1998-08-11,2000-08-11,,
1998-09-11,2000-09-11,,
1998-10-11,2000-10-11,,
1998-11-11,2000-11-11,,
1998-12-11,2000-12-11,,
1999-01-11,2001-01-11,,
1999-02-11,2001-02-11,,
1999-03-11,2001-03-11,,
1999-04-11,2001-04-11,,
1999-05-11,2001-05-11,,
1999-06-11,2001-06-11,,
1999-07-11,2001-07-11,,
1999-08-11,2001-08-11,,
1999-09-11,2001-09-11,,
1999-10-11,2001-10-11,75000.0,
1999-11-11,2001-11-11,70000.0,
1999-12-11,2001-12-11,70000.0,
2000-01-11,2002-01-11,58333.333333333336,
2000-02-11,2002-02-11,58333.333333333336,
2000-03-11,2002-03-11,58333.333333333336,
2000-04-11,2002-04-11,57500.0,
2000-05-11,2002-05-11,56000.0,
2000-06-11,2002-06-11,56000.0,
2000-07-11,2002-07-11,56000.0,
2000-08-11,2002-08-11,54166.666666666664,
2000-09-11,2002-09-11,54166.666666666664,
2000-10-11,2002-10-11,52857.142857142855,
2000-11-11,2002-11-11,52857.142857142855,
2000-12-11,2002-12-11,58750.0,
2001-01-11,2003-01-11,58750.0,
2001-02-11,2003-02-11,58750.0,
2001-03-11,2003-03-11,58888.88888888889,
2001-04-11,2003-04-11,58888.88888888889,
2001-05-11,2003-05-11,56500.0,
2001-06-11,2003-06-11,55818.181818181816,
2001-07-11,2003-07-11,55818.181818181816,
2001-08-11,2003-08-11,55818.181818181816,
2001-09-11,2003-09-11,55818.181818181816,
2001-10-11,2003-10-11,57545.454545454544,
2001-11-11,2003-11-11,56800.0,
2001-12-11,2003-12-11,55272.72727272727,
2002-01-11,2004-01-11,55272.72727272727,7.0
2002-02-11,2004-02-11,59363.63636363636,7.0
2002-03-11,2004-03-11,59363.63636363636,6.666666666666667
2002-04-11,2004-04-11,63909.09090909091,7.0
2002-05-11,2004-05-11,65300.0,6.8
2002-06-11,2004-06-11,65300.0,6.833333333333333
2002-07-11,2004-07-11,69363.63636363637,6.714285714285714
2002-08-11,2004-08-11,71800.0,6.75
2002-09-11,2004-09-11,72545.45454545454,6.666666666666667
2002-10-11,2004-10-11,75300.0,6.7
2002-11-11,2004-11-11,72090.90909090909,6.909090909090909
2002-12-11,2004-12-11,69300.0,6.916666666666667
2003-01-11,2005-01-11,69300.0,7.0
2003-02-11,2005-02-11,72545.45454545454,7.285714285714286
2003-03-11,2005-03-11,73800.0,7.4
2003-04-11,2005-04-11,73800.0,8.375
2003-05-11,2005-05-11,98300.0,8.411764705882353
2003-06-11,2005-06-11,102400.0,8.444444444444445
2003-07-11,2005-07-11,102400.0,8.421052631578947
2003-08-11,2005-08-11,102400.0,8.9
2003-09-11,2005-09-11,106727.27272727272,8.904761904761905
2003-10-11,2005-10-11,109545.45454545454,9.136363636363637
2003-11-11,2005-11-11,109545.45454545454,9.608695652173912
2003-12-11,2005-12-11,124090.90909090909,9.75
2004-01-11,2006-01-11,124090.90909090909,10.041666666666666
2004-02-11,2006-02-11,153181.81818181818,10.583333333333334
2004-03-11,2006-03-11,165416.66666666666,11.0
2004-04-11,2006-04-11,170909.0909090909,11.666666666666666
2004-05-11,2006-05-11,192083.33333333334,12.708333333333334
2004-06-11,2006-06-11,225000.0,13.333333333333334
2004-07-11,2006-07-11,276153.8461538461,14.5
2004-08-11,2006-08-11,276153.8461538461,15.25
2004-09-11,2006-09-11,308461.53846153844,15.916666666666666
2004-10-11,2006-10-11,315000.0,16.75
2004-11-11,2006-11-11,333571.4285714286,17.541666666666668
2004-12-11,2006-12-11,344666.6666666667,18.458333333333332
2005-01-11,2007-01-11,388750.0,19.208333333333332
2005-02-11,2007-02-11,407187.5,19.791666666666668
2005-03-11,2007-03-11,415000.0,20.541666666666668
2005-04-11,2007-04-11,414166.6666666667,21.083333333333332
2005-05-11,2007-05-11,422058.82352941175,22.208333333333332
2005-06-11,2007-06-11,456470.5882352941,22.916666666666668
2005-07-11,2007-07-11,441315.7894736842,23.708333333333332
2005-08-11,2007-08-11,441315.7894736842,24.125
2005-09-11,2007-09-11,460789.4736842105,25.291666666666668
2005-10-11,2007-10-11,479210.5263157895,25.833333333333332
2005-11-11,2007-11-11,471500.0,26.083333333333332
2005-12-11,2007-12-11,477750.0,27.0
2006-01-11,2008-01-11,485952.38095238095,27.666666666666668
2006-02-11,2008-02-11,483181.8181818182,28.291666666666668
2006-03-11,2008-03-11,484318.1818181818,28.666666666666668
2006-04-11,2008-04-11,484318.1818181818,29.041666666666668
2006-05-11,2008-05-11,489090.9090909091,28.916666666666668
2006-06-11,2008-06-11,470869.5652173913,29.208333333333332
2006-07-11,2008-07-11,460652.17391304346,29.416666666666668
2006-08-11,2008-08-11,467500.0,29.666666666666668
2006-09-11,2008-09-11,466666.6666666667,30.083333333333332
2006-10-11,2008-10-11,469565.2173913043,30.25
2006-11-11,2008-11-11,469565.2173913043,30.625
2006-12-11,2008-12-11,491739.1304347826,31.041666666666668
2007-01-11,2009-01-11,489565.2173913043,31.375
2007-02-11,2009-02-11,505416.6666666667,31.916666666666668
2007-03-11,2009-03-11,497500.0,32.0
2007-04-11,2009-04-11,501739.1304347826,32.208333333333336
2007-05-11,2009-05-11,507916.6666666667,33.041666666666664
2007-06-11,2009-06-11,506250.0,34.041666666666664
2007-07-11,2009-07-11,561875.0,36.25
2007-08-11,2009-08-11,573400.0,37.833333333333336
2007-09-11,2009-09-11,570000.0,38.125
2007-10-11,2009-10-11,566000.0,38.708333333333336
2007-11-11,2009-11-11,573000.0,39.541666666666664
2007-12-11,2009-12-11,575000.0,40.083333333333336
2008-01-11,2010-01-11,563269.2307692308,40.416666666666664
2008-02-11,2010-02-11,563800.0,40.708333333333336
2008-03-11,2010-03-11,560400.0,41.5
2008-04-11,2010-04-11,565925.925925926,42.208333333333336
2008-05-11,2010-05-11,565555.5555555555,43.666666666666664
2008-06-11,2010-06-11,599230.7692307692,44.541666666666664
2008-07-11,2010-07-11,615740.7407407408,45.291666666666664
2008-08-11,2010-08-11,614814.8148148148,46.75
2008-09-11,2010-09-11,616851.8518518518,47.083333333333336
2008-10-11,2010-10-11,605357.1428571428,48.041666666666664
2008-11-11,2010-11-11,626785.7142857143,48.458333333333336
2008-12-11,2010-12-11,614655.1724137932,48.916666666666664
2009-01-11,2011-01-11,589137.9310344828,49.166666666666664
2009-02-11,2011-02-11,590714.2857142857,50.208333333333336
2009-03-11,2011-03-11,587500.0,50.916666666666664
2009-04-11,2011-04-11,584137.9310344828,50.75
2009-05-11,2011-05-11,589310.3448275862,50.5
2009-06-11,2011-06-11,570333.3333333334,50.25
2009-07-11,2011-07-11,569000.0,48.541666666666664
2009-08-11,2011-08-11,514827.5862068966,48.5
2009-09-11,2011-09-11,511379.3103448276,48.583333333333336
2009-10-11,2011-10-11,506666.6666666667,48.791666666666664
2009-11-11,2011-11-11,499333.3333333333,49.208333333333336
2009-12-11,2011-12-11,495967.7419354839,50.041666666666664
2010-01-11,2012-01-11,499666.6666666667,50.958333333333336
2010-02-11,2012-02-11,494516.12903225806,51.541666666666664
2010-03-11,2012-03-11,497258.06451612903,51.083333333333336
2010-04-11,2012-04-11,487758.6206896552,51.041666666666664
2010-05-11,2012-05-11,493965.5172413793,50.291666666666664
2010-06-11,2012-06-11,478793.1034482759,49.916666666666664
2010-07-11,2012-07-11,460862.0689655172,50.5
2010-08-11,2012-08-11,439500.0,49.333333333333336
2010-09-11,2012-09-11,436206.8965517241,49.416666666666664
2010-10-11,2012-10-11,441551.724137931,48.75
2010-11-11,2012-11-11,424655.1724137931,48.458333333333336
2010-12-11,2012-12-11,431551.724137931,48.25
2011-01-11,2013-01-11,430714.28571428574,48.208333333333336
2011-02-11,2013-02-11,416607.14285714284,47.833333333333336
2011-03-11,2013-03-11,423392.85714285716,47.833333333333336
2011-04-11,2013-04-11,439821.4285714286,48.166666666666664
2011-05-11,2013-05-11,430178.5714285714,47.625
2011-06-11,2013-06-11,432142.85714285716,47.083333333333336
2011-07-11,2013-07-11,433571.4285714286,47.416666666666664
2011-08-11,2013-08-11,428928.5714285714,46.416666666666664
2011-09-11,2013-09-11,426607.14285714284,46.083333333333336
2011-10-11,2013-10-11,426296.2962962963,45.666666666666664
2011-11-11,2013-11-11,428148.14814814815,45.083333333333336
2011-12-11,2013-12-11,439230.76923076925,44.791666666666664
2012-01-11,2014-01-11,458076.92307692306,43.583333333333336
2012-02-11,2014-02-11,461000.0,43.041666666666664
2012-03-11,2014-03-11,462000.0,43.083333333333336
2012-04-11,2014-04-11,455769.23076923075,42.541666666666664
2012-05-11,2014-05-11,442307.6923076923,41.958333333333336
2012-06-11,2014-06-11,429038.46153846156,41.708333333333336
2012-07-11,2014-07-11,413461.53846153844,40.458333333333336
2012-08-11,2014-08-11,420800.0,40.166666666666664
2012-09-11,2014-09-11,418200.0,39.625
2012-10-11,2014-10-11,408400.0,39.208333333333336
2012-11-11,2014-11-11,399200.0,38.875
2012-12-11,2014-12-11,379423.07692307694,38.666666666666664
2013-01-11,2015-01-11,387500.0,39.458333333333336
2013-02-11,2015-02-11,399807.6923076923,39.208333333333336
2013-03-11,2015-03-11,405576.92307692306,39.0
2013-04-11,2015-04-11,380961.53846153844,38.625
2013-05-11,2015-05-11,365384.6153846154,38.916666666666664
2013-06-11,2015-06-11,365192.3076923077,39.208333333333336
2013-07-11,2015-07-11,381923.07692307694,39.458333333333336
2013-08-11,2015-08-11,409615.3846153846,40.208333333333336
2013-09-11,2015-09-11,403653.8461538461,39.916666666666664
2013-10-11,2015-10-11,401346.1538461539,39.708333333333336
2013-11-11,2015-11-11,404200.0,40.333333333333336
2013-12-11,2015-12-11,423000.0,40.916666666666664
2014-01-11,2016-01-11,418269.23076923075,41.541666666666664
2014-02-11,2016-02-11,425800.0,41.833333333333336
2014-03-11,2016-03-11,464480.0,43.875
2014-04-11,2016-04-11,471333.3333333333,44.666666666666664
2014-05-11,2016-05-11,470166.6666666667,45.458333333333336
2014-06-11,2016-06-11,464240.0,46.125
2014-07-11,2016-07-11,498125.0,48.458333333333336
2014-08-11,2016-08-11,487800.0,50.375
2014-09-11,2016-09-11,545000.0,51.583333333333336
2014-10-11,2016-10-11,548269.2307692308,52.166666666666664
2014-11-11,2016-11-11,563000.0,54.083333333333336
2014-12-11,2016-12-11,597600.0,55.458333333333336
2015-01-11,2017-01-11,609600.0,54.791666666666664
2015-02-11,2017-02-11,591600.0,54.625
2015-03-11,2017-03-11,579600.0,54.75
2015-04-11,2017-04-11,579200.0,54.916666666666664
2015-05-11,2017-05-11,598125.0,54.75
2015-06-11,2017-06-11,579200.0,55.0
2015-07-11,2017-07-11,572400.0,55.458333333333336
2015-08-11,2017-08-11,560208.3333333334,54.875
2015-09-11,2017-09-11,559583.3333333334,55.125
2015-10-11,2017-10-11,557500.0,55.375
2015-11-11,2017-11-11,570200.0,55.166666666666664
2015-12-11,2017-12-11,535400.0,54.041666666666664
2016-01-11,2018-01-11,518333.3333333333,53.916666666666664
2016-02-11,2018-02-11,518333.3333333333,53.666666666666664
2016-03-11,2018-03-11,483608.6956521739,51.75
2016-04-11,2018-04-11,483608.6956521739,51.541666666666664
2016-05-11,2018-05-11,490954.54545454547,50.875
2016-06-11,2018-06-11,513200.0,50.208333333333336
2016-07-11,2018-07-11,487105.2631578947,47.958333333333336
2016-08-11,2018-08-11,500833.3333333333,46.333333333333336
2016-09-11,2018-09-11,432187.5,45.583333333333336
2016-10-11,2018-10-11,441666.6666666667,47.708333333333336
2016-11-11,2018-11-11,441666.6666666667,46.083333333333336
2016-12-11,2018-12-11,398076.92307692306,45.625
2017-01-11,2019-01-11,339583.3333333333,45.5
2017-02-11,2019-02-11,339583.3333333333,45.875
2017-03-11,2019-03-11,357500.0,46.25
2017-04-11,2019-04-11,363888.8888888889,46.208333333333336
2017-05-11,2019-05-11,363888.8888888889,46.208333333333336
2017-06-11,2019-06-11,396428.5714285714,46.25
2017-07-11,2019-07-11,440833.3333333333,46.0
2017-08-11,2019-08-11,357000.0,46.375
2017-09-11,2019-09-11,421250.0,47.333333333333336
2017-10-11,2019-10-11,495000.0,47.791666666666664
2017-11-11,2019-11-11,305000.0,47.833333333333336
2017-12-11,2019-12-11,380000.0,48.0
2018-01-11,2020-01-11,,49.291666666666664
2018-02-11,2020-02-11,,49.541666666666664
2018-03-11,2020-03-11,,50.208333333333336
2018-04-11,2020-04-11,,49.166666666666664
2018-05-11,2020-05-11,,50.375
2018-06-11,2020-06-11,,51.166666666666664
2018-07-11,2020-07-11,,52.541666666666664
2018-08-11,2020-08-11,,53.375
2018-09-11,2020-09-11,,54.208333333333336
2018-10-11,2020-10-11,,53.333333333333336
2018-11-11,2020-11-11,,53.583333333333336
2018-12-11,2020-12-11,,52.708333333333336
2019-01-11,2021-01-11,,54.166666666666664
