Month,ufc
2004-01,7
2004-02,7
2004-03,6
2004-04,8
2004-05,6
2004-06,7
2004-07,6
2004-08,7
2004-09,6
2004-10,7
2004-11,9
2004-12,7
2005-01,8
2005-02,11
2005-03,9
2005-04,23
2005-05,9
2005-06,9
2005-07,8
2005-08,18
2005-09,9
2005-10,14
2005-11,20
2005-12,13
2006-01,14
2006-02,20
2006-03,16
2006-04,24
2006-05,31
2006-06,22
2006-07,34
2006-08,25
2006-09,22
2006-10,27
2006-11,28
2006-12,29
2007-01,26
2007-02,25
2007-03,27
2007-04,36
2007-05,36
2007-06,26
2007-07,27
2007-08,28
2007-09,37
2007-10,27
2007-11,26
2007-12,35
2008-01,30
2008-02,35
2008-03,25
2008-04,33
2008-05,28
2008-06,29
2008-07,39
2008-08,31
2008-09,32
2008-10,31
2008-11,37
2008-12,39
2009-01,34
2009-02,38
2009-03,29
2009-04,41
2009-05,56
2009-06,50
2009-07,80
2009-08,66
2009-09,44
2009-10,41
2009-11,46
2009-12,48
2010-01,38
2010-02,42
2010-03,44
2010-04,50
2010-05,63
2010-06,50
2010-07,57
2010-08,66
2010-09,40
2010-10,54
2010-11,47
2010-12,50
2011-01,40
2011-02,63
2011-03,46
2011-04,37
2011-05,50
2011-06,44
2011-07,39
2011-08,65
2011-09,46
2011-10,46
2011-11,56
2011-12,68
2012-01,60
2012-02,56
2012-03,33
2012-04,49
2012-05,45
2012-06,41
2012-07,71
2012-08,38
2012-09,42
2012-10,38
2012-11,40
2012-12,45
2013-01,39
2013-02,54
2013-03,46
2013-04,45
2013-05,37
2013-06,31
2013-07,47
2013-08,41
2013-09,38
2013-10,36
2013-11,42
2013-12,61
2014-01,31
2014-02,43
2014-03,34
2014-04,36
2014-05,31
2014-06,35
2014-07,41
2014-08,31
2014-09,29
2014-10,28
2014-11,32
2014-12,40
2015-01,58
2015-02,48
2015-03,41
2015-04,36
2015-05,44
2015-06,38
2015-07,53
2015-08,59
2015-09,31
2015-10,31
2015-11,57
2015-12,75
2016-01,46
2016-02,50
2016-03,83
2016-04,55
2016-05,50
2016-06,51
2016-07,97
2016-08,77
2016-09,58
2016-10,42
2016-11,78
2016-12,73
2017-01,42
2017-02,44
2017-03,44
2017-04,40
2017-05,40
2017-06,44
2017-07,64
2017-08,45
2017-09,37
2017-10,37
2017-11,52
2017-12,48
2018-01,43
2018-02,44
2018-03,37
2018-04,50
2018-05,34
2018-06,35
2018-07,43
2018-08,38
2018-09,40
2018-10,93
2018-11,39
2018-12,62
2019-01,39
2019-02,53
2019-03,53
2019-04,39
2019-05,40
2019-06,45
2019-07,58
2019-08,54
2019-09,60
2019-10,48
2019-11,53
2019-12,52
2020-01,74
2020-02,50
2020-03,53
2020-04,25
2020-05,63
2020-06,54
2020-07,76
2020-08,58
2020-09,60
2020-10,72
2020-11,45
2020-12,41
2021-01,74
2021-02,54
2021-03,72
2021-04,65
2021-05,58
2021-06,54
2021-07,81
2021-08,49
2021-09,45
2021-10,51
2021-11,55
2021-12,58
2022-01,55
2022-02,58
2022-03,54
2022-04,52
2022-05,55
2022-06,50
2022-07,78
2022-08,56
2022-09,64
2022-10,66
2022-11,55
2022-12,48
2023-01,46
2023-02,64
2023-03,83
2023-04,70
2023-05,46
2023-06,51
2023-07,88
2023-08,62
2023-09,71
2023-10,77
2023-11,56
2023-12,61
2024-01,57
2024-02,73
2024-03,77
2024-04,81
2024-05,51
2024-06,100
2024-07,49
