Date,"Ufc"
2015-07-01,296
2015-07-02,266
2015-07-03,247
2015-07-04,223
2015-07-05,273
2015-07-06,284
2015-07-07,273
2015-07-08,288
2015-07-09,270
2015-07-10,323
2015-07-11,504
2015-07-12,1230
2015-07-13,800
2015-07-14,456
2015-07-15,389
2015-07-16,513
2015-07-17,361
2015-07-18,438
2015-07-19,375
2015-07-20,359
2015-07-21,348
2015-07-22,336
2015-07-23,288
2015-07-24,329
2015-07-25,401
2015-07-26,637
2015-07-27,406
2015-07-28,366
2015-07-29,331
2015-07-30,326
2015-07-31,341
2015-08-01,499
2015-08-02,1776
2015-08-03,795
2015-08-04,552
2015-08-05,423
2015-08-06,375
2015-08-07,274
2015-08-08,314
2015-08-09,550
2015-08-10,314
2015-08-11,379
2015-08-12,326
2015-08-13,292
2015-08-14,325
2015-08-15,317
2015-08-16,284
2015-08-17,247
2015-08-18,290
2015-08-19,270
2015-08-20,250
2015-08-21,302
2015-08-22,256
2015-08-23,294
2015-08-24,366
2015-08-25,294
2015-08-26,246
2015-08-27,249
2015-08-28,234
2015-08-29,276
2015-08-30,266
2015-08-31,221
2015-09-01,204
2015-09-02,253
2015-09-03,239
2015-09-04,261
2015-09-05,360
2015-09-06,644
2015-09-07,343
2015-09-08,305
2015-09-09,233
2015-09-10,258
2015-09-11,250
2015-09-12,244
2015-09-13,295
2015-09-14,227
2015-09-15,207
2015-09-16,238
2015-09-17,273
2015-09-18,261
2015-09-19,239
2015-09-20,301
2015-09-21,224
2015-09-22,231
2015-09-23,243
2015-09-24,199
2015-09-25,196
2015-09-26,215
2015-09-27,407
2015-09-28,248
2015-09-29,230
2015-09-30,207
2015-10-01,187
2015-10-02,232
2015-10-03,269
2015-10-04,467
2015-10-05,239
2015-10-06,228
2015-10-07,228
2015-10-08,202
2015-10-09,162
2015-10-10,196
2015-10-11,223
2015-10-12,211
2015-10-13,202
2015-10-14,226
2015-10-15,183
2015-10-16,221
2015-10-17,180
2015-10-18,264
2015-10-19,229
2015-10-20,219
2015-10-21,230
2015-10-22,249
2015-10-23,236
2015-10-24,295
2015-10-25,319
2015-10-26,238
2015-10-27,181
2015-10-28,205
2015-10-29,206
2015-10-30,182
2015-10-31,209
2015-11-01,193
2015-11-02,250
2015-11-03,184
2015-11-04,211
2015-11-05,212
2015-11-06,220
2015-11-07,283
2015-11-08,436
2015-11-09,305
2015-11-10,276
2015-11-11,226
2015-11-12,259
2015-11-13,298
2015-11-14,393
2015-11-15,1761
2015-11-16,889
2015-11-17,579
2015-11-18,423
2015-11-19,431
2015-11-20,352
2015-11-21,292
2015-11-22,438
2015-11-23,315
2015-11-24,274
2015-11-25,242
2015-11-26,219
2015-11-27,235
2015-11-28,379
2015-11-29,320
2015-11-30,318
2015-12-01,316
2015-12-02,279
2015-12-03,282
2015-12-04,323
2015-12-05,320
2015-12-06,328
2015-12-07,287
2015-12-08,357
2015-12-09,293
2015-12-10,426
2015-12-11,565
2015-12-12,790
2015-12-13,2374
2015-12-14,1146
2015-12-15,649
2015-12-16,528
2015-12-17,396
2015-12-18,339
2015-12-19,379
2015-12-20,703
2015-12-21,394
2015-12-22,349
2015-12-23,327
2015-12-24,260
2015-12-25,256
2015-12-26,234
2015-12-27,281
2015-12-28,259
2015-12-29,292
2015-12-30,272
2015-12-31,244
2016-01-01,267
2016-01-02,373
2016-01-03,654
2016-01-04,337
2016-01-05,306
2016-01-06,257
2016-01-07,253
2016-01-08,387
2016-01-09,319
2016-01-10,303
2016-01-11,256
2016-01-12,276
2016-01-13,297
2016-01-14,277
2016-01-15,278
2016-01-16,287
2016-01-17,433
2016-01-18,687
2016-01-19,344
2016-01-20,334
2016-01-21,341
2016-01-22,345
2016-01-23,243
2016-01-24,298
2016-01-25,295
2016-01-26,260
2016-01-27,240
2016-01-28,226
2016-01-29,239
2016-01-30,316
2016-01-31,451
2016-02-01,275
2016-02-02,255
2016-02-03,233
2016-02-04,251
2016-02-05,247
2016-02-06,265
2016-02-07,515
2016-02-08,277
2016-02-09,193
2016-02-10,231
2016-02-11,208
2016-02-12,217
2016-02-13,200
2016-02-14,237
2016-02-15,216
2016-02-16,225
2016-02-17,255
2016-02-18,264
2016-02-19,263
2016-02-20,374
2016-02-21,363
2016-02-22,453
2016-02-23,363
2016-02-24,397
2016-02-25,368
2016-02-26,289
2016-02-27,484
2016-02-28,484
2016-02-29,311
2016-03-01,316
2016-03-02,253
2016-03-03,302
2016-03-04,394
2016-03-05,588
2016-03-06,1993
2016-03-07,966
2016-03-08,611
2016-03-09,441
2016-03-10,333
2016-03-11,315
2016-03-12,293
2016-03-13,302
2016-03-14,289
2016-03-15,278
2016-03-16,267
2016-03-17,261
2016-03-18,244
2016-03-19,282
2016-03-20,422
2016-03-21,329
2016-03-22,286
2016-03-23,294
2016-03-24,239
2016-03-25,252
2016-03-26,326
2016-03-27,549
2016-03-28,324
2016-03-29,294
2016-03-30,277
2016-03-31,355
2016-04-01,234
2016-04-02,247
2016-04-03,270
2016-04-04,295
2016-04-05,261
2016-04-06,257
2016-04-07,258
2016-04-08,192
2016-04-09,242
2016-04-10,362
2016-04-11,324
2016-04-12,273
2016-04-13,210
2016-04-14,273
2016-04-15,209
2016-04-16,273
2016-04-17,340
2016-04-18,223
2016-04-19,285
2016-04-20,415
2016-04-21,350
2016-04-22,316
2016-04-23,318
2016-04-24,544
2016-04-25,368
2016-04-26,233
2016-04-27,286
2016-04-28,389
2016-04-29,388
2016-04-30,375
2016-05-01,368
2016-05-02,231
2016-05-03,236
2016-05-04,185
2016-05-05,198
2016-05-06,211
2016-05-07,223
2016-05-08,400
2016-05-09,315
2016-05-10,224
2016-05-11,456
2016-05-12,222
2016-05-13,234
2016-05-14,263
2016-05-15,510
2016-05-16,275
2016-05-17,199
2016-05-18,229
2016-05-19,192
2016-05-20,195
2016-05-21,177
2016-05-22,211
2016-05-23,199
2016-05-24,179
2016-05-25,166
2016-05-26,203
2016-05-27,156
2016-05-28,192
2016-05-29,248
2016-05-30,307
2016-05-31,262
2016-06-01,166
2016-06-02,196
2016-06-03,189
2016-06-04,225
2016-06-05,639
2016-06-06,393
2016-06-07,421
2016-06-08,273
2016-06-09,232
2016-06-10,238
2016-06-11,194
2016-06-12,215
2016-06-13,191
2016-06-14,207
2016-06-15,216
2016-06-16,264
2016-06-17,249
2016-06-18,238
2016-06-19,412
2016-06-20,274
2016-06-21,448
2016-06-22,266
2016-06-23,258
2016-06-24,214
2016-06-25,195
2016-06-26,244
2016-06-27,212
2016-06-28,245
2016-06-29,206
2016-06-30,196
2016-07-01,187
2016-07-02,196
2016-07-03,219
2016-07-04,190
2016-07-05,274
2016-07-06,256
2016-07-07,462
2016-07-08,688
2016-07-09,709
2016-07-10,1157
2016-07-11,2120
2016-07-12,1045
2016-07-13,557
2016-07-14,453
2016-07-15,284
2016-07-16,328
2016-07-17,341
2016-07-18,328
2016-07-19,270
2016-07-20,332
2016-07-21,247
2016-07-22,216
2016-07-23,270
2016-07-24,432
2016-07-25,308
2016-07-26,229
2016-07-27,220
2016-07-28,192
2016-07-29,248
2016-07-30,269
2016-07-31,496
2016-08-01,312
2016-08-02,257
2016-08-03,187
2016-08-04,197
2016-08-05,198
2016-08-06,231
2016-08-07,296
2016-08-08,225
2016-08-09,230
2016-08-10,203
2016-08-11,182
2016-08-12,181
2016-08-13,161
2016-08-14,207
2016-08-15,203
2016-08-16,216
2016-08-17,185
2016-08-18,258
2016-08-19,260
2016-08-20,679
2016-08-21,1182
