fighter,pearson
Dominick Cruz,-0.03079285334142129
Amanda Nunes,nan
Kamaru Usman,0.7990501440597584
Dustin Poirier,nan
Max Holloway,0.03532713050764582
Anthony Pettis,-0.629987102553947
Tony Ferguson,-0.4180676076389144
Valentina Shevchenko,nan
Robert Whittaker,0.006719864190282714
Khabib Nurmagomedov,0.1638410479028209
Holly Holm,nan
Israel Adesanya,nan
Robbie Lawler,-0.5457075509676941
Stipe Miocic,0.3634069247943555
Fabricio Werdum,-0.587508681705379
Alexander Volkanovski,nan
Tyron Woodley,-0.2248562755289556
Henry Cejudo,0.937203505336361
Jon Jones,-0.09560599055597091
Rafael Dos Anjos,-0.13816109479773764
Conor McGregor,-0.04769803654058094
Frankie Edgar,-0.435203709323556
Joanna Jedrzejczyk,nan
Yoel Romero,nan
Daniel Cormier,-0.011261263195854972
Urijah Faber,0.7160828714363139
Gilbert Melendez,0.5063979042323117
Alexander Gustafsson,-0.3145880601027385
Rose Namajunas,nan
Cody Garbrandt,0.28696276592603115
Renan Barao,-0.3147373476067107
Chris Weidman,-0.10047451858290316
TJ Dillashaw,-0.0031688266541343435
Demetrious Johnson,0.3103013873536947
Eddie Alvarez,0.9081778989863083
Vitor Belfort,0.18653408715591888
Michael Bisping,-0.262444750719092
Johny Hendricks,0.5396674552421155
Luke Rockhold,0.3671830240517018
Anderson Silva,0.6611661934620979
Miesha Tate,nan
Cain Velasquez,0.33477480073987353
Benson Henderson,0.7579095977584651
Ronda Rousey,nan
