fighter,pearson
Dominick Cruz,-0.032765504514226745
Amanda Nunes,nan
Kamaru Usman,nan
Dustin Poirier,nan
Max Holloway,0.16219260506276464
Anthony Pettis,-0.4018031785090559
Tony Ferguson,-0.21383302065687587
Valentina Shevchenko,nan
Robert Whittaker,0.13057997964512746
Khabib Nurmagomedov,nan
Holly Holm,nan
Israel Adesanya,nan
Robbie Lawler,nan
Stipe Miocic,0.8196768719670608
Fabricio Werdum,0.884891238406523
Alexander Volkanovski,nan
Tyron Woodley,-0.17557791241223902
Henry Cejudo,nan
Jon Jones,-0.19666386537991173
Rafael Dos Anjos,0.5542183719687697
Conor McGregor,nan
Frankie Edgar,0.05438264907227194
Joanna Jedrzejczyk,nan
Yoel Romero,nan
Daniel Cormier,0.2992329528666541
Urijah Faber,-0.102535444503293
Gilbert Melendez,-0.8959268516030766
Alexander Gustafsson,0.36591839022043265
Rose Namajunas,nan
Cody Garbrandt,nan
Renan Barao,0.194906563075462
Chris Weidman,0.2741528353620947
TJ Dillashaw,-0.17328530789719393
Demetrious Johnson,-0.11041623860974367
Eddie Alvarez,nan
Vitor Belfort,0.27271676460293715
Michael Bisping,nan
Johny Hendricks,0.31399079591314616
Luke Rockhold,nan
Anderson Silva,nan
Miesha Tate,nan
Cain Velasquez,-0.12389122362840348
Benson Henderson,0.21053462969029524
Ronda Rousey,nan
