fighter,pearson
Dominick Cruz,0.09964775517574372
Amanda Nunes,nan
Kamaru Usman,0.7990501440597584
Dustin Poirier,nan
Max Holloway,0.372695987047076
Anthony Pettis,-0.5042688508601046
Tony Ferguson,-0.4200529272333575
Valentina Shevchenko,nan
Robert Whittaker,0.4488058047904737
Khabib Nurmagomedov,0.14693636601024013
Holly Holm,nan
Israel Adesanya,nan
Robbie Lawler,0.1687884462772418
Stipe Miocic,0.6644988595532777
Fabricio Werdum,-0.8782918407888748
Alexander Volkanovski,nan
Tyron Woodley,-0.34216411487208276
Henry Cejudo,0.9391785718656982
Jon Jones,-0.21525669226572783
Rafael Dos Anjos,-0.5621948122468368
Conor McGregor,0.527679939886208
Frankie Edgar,0.21519508710072394
Joanna Jedrzejczyk,nan
Yoel Romero,nan
Daniel Cormier,0.6004191525301414
Urijah Faber,0.10364128389020166
Gilbert Melendez,-0.08063619556004295
Alexander Gustafsson,-0.28547407834382654
Rose Namajunas,nan
Cody Garbrandt,0.5586053994725186
Renan Barao,0.33617725482066
Chris Weidman,-0.38117164574631895
TJ Dillashaw,-0.09211465475124817
Demetrious Johnson,0.7533998317952777
Eddie Alvarez,-0.8556231221576089
Vitor Belfort,0.6057847016538955
Michael Bisping,-0.2804850048488332
Johny Hendricks,0.4001440151875856
Luke Rockhold,-0.32365832131962535
Anderson Silva,0.7504646462237546
Miesha Tate,nan
Cain Velasquez,0.19055001382686104
Benson Henderson,-0.8268098290454635
Ronda Rousey,nan
