fighter,pearson
Dominick Cruz,0.2542851040478014
Amanda Nunes,nan
Kamaru Usman,0.7990501440597585
Dustin Poirier,nan
Max Holloway,-0.040725594953978136
Anthony Pettis,-0.5383997431330116
Tony Ferguson,-0.4860137892297778
Valentina Shevchenko,nan
Robert Whittaker,0.6558041178527929
Khabib Nurmagomedov,0.21327936623416
Holly Holm,nan
Israel Adesanya,nan
Robbie Lawler,0.25899032639969416
Stipe Miocic,0.2940916849920916
Fabricio Werdum,-0.3349451439053243
Alexander Volkanovski,nan
Tyron Woodley,-0.13003154931972954
Henry Cejudo,0.0807415287157045
Jon Jones,-0.17916576160861628
Rafael Dos Anjos,0.3925574443312403
Conor McGregor,0.02548986311145862
Frankie Edgar,-0.1793351886085779
Joanna Jedrzejczyk,nan
Yoel Romero,nan
Daniel Cormier,-0.04064312227443301
Urijah Faber,-0.09158091072913724
Gilbert Melendez,-0.3108547581335446
Alexander Gustafsson,-0.09134174609841048
Rose Namajunas,nan
Cody Garbrandt,0.06950544534197171
Renan Barao,-0.27487954775028317
Chris Weidman,-0.6875831911549706
TJ Dillashaw,0.013945956034975844
Demetrious Johnson,0.07893078813098835
Eddie Alvarez,-0.3753094383127816
Vitor Belfort,0.7230112494378972
Michael Bisping,-0.4320893677455583
Johny Hendricks,0.4699364773155789
Luke Rockhold,-0.647643193194111
Anderson Silva,0.6722951222669632
Miesha Tate,nan
Cain Velasquez,-0.5509114166262045
Benson Henderson,-0.5810244102060086
Ronda Rousey,nan
