date,rank
2014-02-03,15
2014-02-17,15
2014-02-18,15
2014-02-24,15
2014-02-25,15
2014-03-03,14
2014-03-04,14
2014-03-10,13
2014-03-17,13
2014-03-24,14
2014-03-25,13
2014-04-14,13
2014-04-18,13
2014-04-21,14
2014-04-28,14
2014-05-05,14
2014-05-06,14
2014-05-12,13
2014-05-26,14
2014-05-28,14
2014-06-02,14
2014-06-09,14
2014-06-16,14
2014-06-30,14
2014-07-08,14
2014-07-21,14
2014-07-28,14
2014-08-18,14
2014-08-25,13
2014-09-01,13
2014-09-08,13
2014-09-09,13
2014-09-15,13
2014-09-22,13
2014-09-29,14
2014-10-06,13
2014-10-27,15
2014-11-10,15
2014-11-17,15
2014-11-24,15
2015-01-05,15
2015-01-20,15
