date,rank
2016-11-07,15
2016-11-16,13
2016-11-21,13
2016-11-30,13
2016-12-05,13
2016-12-14,11
2016-12-19,11
2017-01-02,11
2017-01-18,11
2017-02-01,11
2017-02-08,11
2017-02-13,11
2017-02-21,11
2017-03-06,11
2017-03-15,11
2017-03-22,11
2017-04-12,11
2017-04-19,11
2017-04-26,11
2017-05-17,11
2017-05-31,11
2017-06-07,12
2017-06-14,12
2017-06-21,12
2017-06-28,12
2017-07-10,12
2017-07-18,13
2017-07-26,13
2017-08-02,14
2017-08-07,14
2017-09-04,15
2017-09-13,15
2017-09-20,13
2017-09-25,13
2017-10-09,14
2017-10-23,14
2017-10-30,14
2017-11-08,12
2017-11-13,12
2017-11-20,12
2017-11-29,12
2017-12-06,12
2017-12-13,13
2017-12-18,13
2018-01-01,13
2018-01-17,13
2018-01-24,13
2018-01-29,13
2018-02-07,13
2018-02-12,13
2018-02-21,13
2018-02-26,13
2018-03-05,14
2018-03-21,11
2018-04-11,12
2018-04-18,12
2018-04-23,12
2018-05-16,12
2018-05-23,12
2018-05-30,12
2018-06-06,12
2018-06-13,13
2018-06-26,13
2018-07-11,13
2018-07-16,13
2018-07-25,13
2018-08-01,13
2018-08-06,14
2018-08-29,14
2018-09-12,14
2018-09-19,14
2018-09-24,14
2018-10-08,14
2018-10-31,13
2018-11-07,14
2018-11-12,14
2018-11-19,14
2018-11-28,14
2018-12-03,14
2018-12-12,14
2018-12-17,14
2019-01-01,8
2019-01-21,7
2019-02-04,7
2019-02-11,7
2019-02-19,7
2019-02-25,7
2019-03-05,6
2019-03-12,6
2019-03-20,6
2019-03-26,6
2019-04-01,6
2019-04-03,6
2019-04-15,6
2019-04-22,6
2019-04-30,6
2019-05-06,6
2019-05-13,6
2019-05-21,6
2019-06-03,6
2019-07-08,5
2019-07-15,5
2019-07-22,5
2019-07-29,5
2019-08-05,5
2019-08-12,6
2019-08-19,5
2019-09-02,5
2019-09-09,5
2019-09-16,5
2019-09-23,5
2019-09-30,5
2019-10-07,5
2019-10-14,5
2019-10-21,5
2019-10-28,5
2019-11-04,5
2019-11-11,5
2019-11-18,5
2019-12-10,5
2019-12-16,5
2019-12-24,5
2020-01-20,5
