date,rank
2013-02-04,1
2013-02-11,1
2013-02-18,1
2013-02-25,1
2013-03-04,1
2013-03-18,1
2013-04-08,1
2013-04-15,1
2013-04-22,1
2013-04-29,1
2013-05-28,1
2013-06-10,1
2013-06-18,1
2013-07-08,3
2013-07-29,3
2013-08-05,3
2013-08-19,3
2013-08-30,3
2013-09-02,4
2013-09-06,3
2013-09-23,4
2013-10-11,3
2013-10-21,4
2013-10-28,4
2013-11-08,4
2013-11-11,4
2013-11-18,4
2013-12-03,4
2013-12-09,4
2013-12-16,3
2013-12-30,7
2014-01-07,7
2014-01-17,7
2014-01-27,7
2014-02-03,7
2014-02-17,7
2014-02-18,7
2014-02-24,7
2014-02-25,7
2014-03-03,8
2014-03-04,8
2014-03-10,7
2014-03-17,8
2014-03-24,7
2014-03-25,7
2014-04-14,8
2014-04-18,7
2014-04-21,7
2014-04-28,7
2014-05-05,7
2014-05-06,7
2014-05-12,7
2014-05-26,7
2014-05-28,7
2014-06-02,7
2014-06-09,7
2014-06-16,7
2014-06-30,7
2014-07-08,7
2014-07-21,7
2014-07-28,7
2014-08-18,7
2014-08-25,7
2014-09-01,7
2014-09-08,7
2014-09-09,7
2014-09-15,7
2014-09-22,7
2014-09-29,7
2014-10-06,7
2014-10-27,7
2014-11-10,7
2014-11-17,8
2014-11-24,7
2014-12-08,8
2014-12-15,8
2014-12-22,8
2015-01-05,8
2015-01-20,9
2015-01-26,9
2015-02-02,8
2015-02-16,9
2015-02-24,9
2015-03-02,9
2015-03-16,11
2015-03-23,11
2015-04-06,10
2015-04-13,10
2015-04-20,10
2015-04-27,9
2015-05-11,9
2015-05-25,10
2015-06-01,12
2015-06-08,10
2015-06-15,12
2015-06-22,13
2015-06-29,11
2015-07-13,11
2015-07-20,13
2015-07-27,12
2015-08-03,11
