date,rank
2013-09-02,8
2013-09-06,8
2013-09-23,8
2013-10-11,8
2013-10-21,8
2013-10-28,8
2013-11-08,8
2013-11-11,8
2013-11-18,8
2013-12-03,8
2013-12-09,8
2013-12-16,7
2013-12-30,8
2014-01-07,8
2014-01-17,8
2014-01-27,8
2014-02-03,8
2014-02-17,8
2014-02-18,8
2014-02-24,8
2014-02-25,8
2014-03-03,7
2014-03-04,7
2014-03-10,8
2014-03-17,7
2014-03-24,8
2014-03-25,8
2014-04-14,7
2014-04-18,8
2014-04-21,8
2014-04-28,8
2014-05-05,8
2014-05-06,8
2014-05-12,8
2014-05-26,6
2014-05-28,6
2014-06-02,6
2014-06-09,6
2014-06-16,6
2014-06-30,6
2014-07-08,6
2014-07-21,6
2014-07-28,6
2014-08-18,6
2014-08-25,6
2014-09-01,6
2014-09-08,6
2014-09-09,6
2014-09-15,6
2014-09-22,6
2014-09-29,6
2014-10-06,6
2014-10-27,6
2014-11-10,6
2014-11-17,6
2014-11-24,6
2014-12-08,6
2014-12-15,6
2014-12-22,5
2015-01-05,5
2015-01-20,5
2015-01-26,5
2015-02-02,5
2015-02-16,5
2015-02-24,5
2015-03-02,5
2015-03-16,10
2015-03-23,10
2015-04-06,11
2015-04-13,11
2015-04-20,11
2015-04-27,10
2015-05-11,10
2015-05-25,11
2015-06-01,10
2015-06-08,11
2015-06-15,11
2015-06-22,11
2015-06-29,13
2015-07-13,13
2015-07-20,11
2015-07-27,11
2015-08-03,12
2015-08-10,11
2015-08-25,12
2015-09-07,12
2015-09-28,12
2015-10-05,12
2015-10-26,13
2015-11-09,13
2015-11-16,14
2015-11-23,15
2015-11-30,15
