date,rank
2013-02-04,5
2013-02-11,5
2013-02-18,5
2013-02-25,5
2013-03-04,5
2013-03-18,5
2013-04-08,5
2013-04-15,5
2013-04-22,5
2013-04-29,5
2013-05-28,5
2013-06-10,5
2013-06-18,5
2013-07-08,5
2013-07-29,5
2013-08-05,5
2013-08-19,6
2013-08-30,6
2013-09-02,10
2013-09-06,10
2013-09-23,10
2013-10-11,10
2013-10-21,10
2013-10-28,10
2013-11-08,10
2013-11-11,10
2013-11-18,10
2013-12-03,10
2013-12-09,10
2013-12-16,9
2013-12-30,9
2014-01-07,9
2014-01-17,9
2014-01-27,12
2014-02-03,12
2014-02-17,12
2014-02-18,12
2014-02-24,12
2014-02-25,12
2014-03-03,12
2014-03-04,12
2014-03-10,12
2014-03-17,12
2014-03-24,12
2014-03-25,12
2014-04-14,12
2014-04-18,12
2014-04-21,12
2014-04-28,12
2014-05-05,12
2014-05-06,12
2014-05-12,12
2014-05-26,13
2014-05-28,13
2014-06-02,13
2014-06-09,13
2014-06-16,13
2014-06-30,13
2014-07-08,13
2014-07-21,13
2014-07-28,13
2014-08-18,13
