date,rank
2013-02-04,6
2013-02-11,6
2013-02-18,6
2013-02-25,6
2013-03-04,6
2013-03-18,6
2013-04-08,6
2013-04-15,6
2013-04-22,6
2013-04-29,6
2013-05-28,6
2013-06-10,6
2013-06-18,6
2013-07-08,6
2013-07-29,6
2013-08-05,6
2013-08-19,5
2013-08-30,5
2013-09-02,5
2013-09-06,5
2013-09-23,5
2013-10-11,5
2013-10-21,5
2013-10-28,5
2013-11-08,5
2013-11-11,5
2013-11-18,5
2013-12-03,5
2013-12-09,5
2013-12-16,4
2013-12-30,3
2014-01-07,3
2014-01-17,3
2014-01-27,3
2014-02-03,3
2014-02-17,3
2014-02-18,4
2014-02-24,4
2014-02-25,4
2014-03-03,4
2014-03-04,4
2014-03-10,4
2014-03-17,4
2014-03-24,4
2014-03-25,4
2014-04-14,4
2014-04-18,4
2014-04-21,4
2014-04-28,4
2014-05-05,4
2014-05-06,4
2014-05-12,4
2014-05-26,3
2014-05-28,3
2014-06-02,3
2014-06-09,3
2014-06-16,3
2014-06-30,3
2014-07-08,3
2014-07-21,3
2014-07-28,3
2014-08-18,3
2014-08-25,3
2014-09-01,3
2014-09-08,3
2014-09-09,3
2014-09-15,3
2014-09-22,3
2014-09-29,4
2014-10-06,5
2014-10-27,5
2014-11-10,5
2014-11-17,5
2014-11-24,5
2014-12-08,5
2014-12-15,5
2014-12-22,6
2015-01-05,6
2015-01-20,6
2015-01-26,6
2015-02-02,6
2015-02-16,6
2015-02-24,6
2015-03-02,6
2015-03-16,5
2015-03-23,5
2015-04-06,5
2015-04-13,5
2015-04-20,5
2015-04-27,4
2015-05-11,5
2015-05-25,4
2015-06-01,4
2015-06-08,4
2015-06-15,10
2015-06-22,10
2015-06-29,10
2015-07-13,9
2015-07-20,9
2015-07-27,9
2015-08-03,10
2015-08-10,10
2015-08-25,10
2015-09-07,10
2015-09-28,10
2015-10-05,10
2015-10-26,10
2015-11-09,10
2015-11-16,10
2015-11-23,10
2015-11-30,10
2015-12-14,12
2015-12-21,12
2016-01-04,12
2016-01-19,15
2016-05-10,15
