date,rank
2013-07-08,10
2013-07-29,9
2013-08-05,10
2013-08-19,9
2013-08-30,9
2013-09-02,9
2013-09-06,9
2013-09-23,9
2013-10-11,9
2013-10-21,9
2013-10-28,9
2013-11-08,9
2013-11-11,9
2013-11-18,9
2013-12-03,9
2013-12-09,9
2013-12-16,8
2013-12-30,5
2014-01-07,5
2014-01-17,5
2014-01-27,5
2014-02-03,6
2014-02-17,6
2014-02-18,6
2014-02-24,6
2014-02-25,6
2014-03-03,5
2014-03-04,5
2014-03-10,6
2014-03-17,6
2014-03-24,6
2014-03-25,6
2014-04-14,6
2014-04-18,5
2014-04-21,6
2014-04-28,6
2014-05-05,6
2014-05-06,6
2014-05-12,6
2014-05-26,5
2014-05-28,5
2014-06-02,5
2014-06-09,5
2014-06-16,5
2014-06-30,5
2014-07-08,5
2014-07-21,5
2014-07-28,5
2014-08-18,5
2014-08-25,4
2014-09-01,4
2014-09-08,4
2014-09-09,5
2014-09-15,5
2014-09-22,5
2014-09-29,5
2014-10-06,4
2014-10-27,4
2014-11-10,4
2014-11-17,4
2014-11-24,4
2014-12-08,4
2014-12-15,4
2014-12-22,4
2015-01-05,4
2015-01-20,4
2015-01-26,4
2015-02-02,4
2015-02-16,4
2015-02-24,4
2015-03-02,4
2015-03-16,4
2015-03-23,4
2015-04-06,4
2015-04-13,4
2015-04-20,4
2015-04-27,3
2015-05-11,3
2015-05-25,3
2015-06-01,2
2015-06-08,3
2015-06-15,2
2015-06-22,2
2015-06-29,2
2015-07-13,2
2015-07-20,2
2015-07-27,2
2015-08-03,2
2015-08-10,2
2015-08-25,2
2015-09-07,3
2015-09-28,3
2015-10-05,3
2015-10-26,3
2015-11-09,3
2015-11-16,3
2015-11-23,3
2015-11-30,3
2015-12-14,11
2015-12-21,11
2016-01-04,11
2016-01-19,11
2016-02-01,11
2016-02-08,11
2016-02-23,11
2016-02-29,11
2016-03-07,11
2016-03-21,11
2016-04-12,11
2016-04-18,11
2016-04-25,11
2016-05-10,11
2016-05-16,10
2016-05-31,10
2016-06-06,14
2016-06-20,14
