date,rank
2017-01-02,5
2017-01-18,5
2017-02-01,5
2017-02-08,5
2017-02-13,5
2017-02-21,5
2017-03-06,5
2017-03-15,5
2017-03-22,5
2017-04-12,5
2017-04-19,5
2017-04-26,5
2017-05-17,6
2017-05-31,6
2017-06-07,6
2017-06-14,6
2017-06-21,6
2017-06-28,6
2017-07-10,6
2017-07-18,6
2017-07-26,7
2017-08-02,6
2017-08-07,6
2017-09-04,6
2017-09-13,6
2017-09-20,6
2017-09-25,6
2017-10-09,6
2017-10-23,6
2017-10-30,6
2017-11-08,10
2017-11-13,11
2017-11-20,11
2017-11-29,11
2017-12-06,11
2017-12-13,11
2017-12-18,11
2018-01-01,11
2018-01-17,11
2018-01-24,11
2018-01-29,11
2018-02-07,11
2018-02-12,11
2018-02-21,12
2018-02-26,12
2018-03-05,12
2018-03-21,13
2018-04-11,14
2018-04-18,14
2018-04-23,14
2018-05-16,14
2018-05-23,14
2018-05-30,14
2018-06-06,14
2018-06-13,14
2018-06-26,14
2018-07-11,14
2018-07-16,14
2018-07-25,14
2018-08-01,14
