date,rank
2015-07-13,14
2015-07-20,14
2015-07-27,13
2015-08-03,13
2015-08-10,12
2015-08-25,11
2015-09-07,11
2015-09-28,11
2015-10-05,11
2015-10-26,11
2015-11-09,11
2015-11-16,12
2015-11-23,12
2015-11-30,12
2015-12-14,3
2015-12-21,3
2016-01-04,3
2016-01-19,3
2016-02-01,3
2016-02-08,3
2016-02-23,3
2016-02-29,3
2016-03-07,8
2016-03-21,8
2016-04-12,8
2016-04-18,8
2016-04-25,8
2016-05-10,8
2016-05-16,7
2016-05-31,7
2016-06-06,6
2016-06-20,6
2016-07-11,5
2016-07-15,6
2016-07-27,6
2016-08-03,5
2016-08-09,4
2016-08-24,4
2016-08-31,4
2016-09-05,4
2016-09-14,4
2016-09-21,4
2016-09-26,4
2016-10-05,4
2016-10-12,4
2016-11-07,4
2016-11-16,2
2016-11-21,2
2016-11-30,2
2016-12-05,2
2016-12-14,2
2016-12-19,2
2017-01-02,2
2017-01-18,2
2017-02-01,2
2017-02-08,2
2017-02-13,2
2017-02-21,2
2017-03-06,2
2017-03-15,2
2017-03-22,2
2017-04-12,2
2017-04-19,2
2017-04-26,2
2017-05-17,2
2017-05-31,2
2017-06-07,2
2017-06-14,2
2017-06-21,2
2017-06-28,2
2017-07-10,2
2017-07-18,2
2017-07-26,2
2017-08-02,3
2017-08-07,3
2017-09-04,2
2017-09-13,2
2017-09-20,2
2017-09-25,2
2017-10-09,2
2017-10-23,2
2017-10-30,2
2017-11-08,2
2017-11-13,3
2017-11-20,3
2017-11-29,3
2017-12-06,3
2017-12-13,3
2017-12-18,3
2018-01-01,2
2018-01-17,2
2018-01-24,2
2018-01-29,2
2018-02-07,2
2018-02-12,2
2018-02-21,2
2018-02-26,2
2018-03-05,2
2018-03-21,2
2018-04-11,3
2018-04-18,4
2018-04-23,3
2018-05-16,3
2018-05-23,3
2018-05-30,3
2018-06-06,3
2018-06-13,3
2018-06-26,3
2018-07-11,3
2018-07-16,4
2018-07-25,3
2018-08-01,3
2018-08-06,2
2018-08-29,2
2018-09-12,2
2018-09-19,2
2018-09-24,2
2018-10-08,8
2018-10-31,7
2018-11-07,8
2018-11-12,8
2018-11-19,8
2018-11-28,8
2018-12-03,8
2018-12-12,8
2018-12-17,8
2019-01-01,9
2019-01-21,10
2019-02-04,10
2019-02-11,10
2019-02-19,10
2019-02-25,9
2019-03-05,8
2019-03-12,8
2019-03-20,9
2019-03-26,8
2019-04-01,8
2019-04-03,8
2019-04-15,9
2019-04-22,9
2019-04-30,9
2019-05-06,9
2019-05-13,9
2019-05-21,9
2019-06-03,9
2019-07-08,9
2019-07-15,9
2019-07-22,11
2019-07-29,11
2019-08-05,11
2019-08-12,13
2019-08-19,13
2019-09-02,13
2019-09-09,11
2019-09-16,11
2019-09-23,12
2019-09-30,12
2019-10-07,12
2019-10-14,12
2019-10-21,12
2019-10-28,12
2019-11-04,12
2019-11-11,12
2019-11-18,14
2019-12-10,14
2019-12-16,14
2019-12-24,13
2020-01-20,11
