date,rank
2014-07-28,15
2014-08-18,15
2014-08-25,14
2014-09-01,14
2014-09-08,14
2014-09-09,14
2014-09-15,14
2014-09-22,14
2014-09-29,13
2014-10-06,15
2014-10-27,14
2014-11-10,14
2014-11-17,14
2014-11-24,14
2014-12-08,14
2014-12-15,14
2014-12-22,14
2015-05-25,9
2015-06-01,9
2015-06-08,9
2015-06-15,9
2015-06-22,9
2015-06-29,9
2015-07-13,10
2015-07-20,10
2015-07-27,10
2015-08-03,9
2015-08-10,9
2015-08-25,9
2015-09-07,9
2015-09-28,9
2015-10-05,9
2015-10-26,8
2015-11-09,8
2015-11-16,8
2015-11-23,8
2015-11-30,8
2015-12-14,8
2015-12-21,10
2016-01-04,10
2016-01-19,10
2016-02-01,10
2016-02-08,10
2016-02-23,9
2016-02-29,9
2016-03-07,9
2016-03-21,9
2016-04-12,9
2016-04-18,9
2016-04-25,9
2016-05-10,9
2016-05-16,8
2016-05-31,8
2016-06-06,7
2016-06-20,7
2016-07-11,6
2016-07-15,5
2016-07-27,5
2016-08-03,3
2016-08-09,3
2016-08-24,3
2016-08-31,3
2016-09-05,3
2016-09-14,3
2016-09-21,3
2016-09-26,3
2016-10-05,3
2016-10-12,3
2016-11-07,3
2016-11-16,4
2016-11-21,4
2016-11-30,4
2016-12-05,4
2016-12-14,4
2016-12-19,4
2017-01-02,3
2017-01-18,3
2017-02-01,3
2017-02-08,3
2017-02-13,3
2017-02-21,3
2017-03-06,3
2017-03-15,3
2017-03-22,3
2017-04-12,3
2017-04-19,3
2017-04-26,3
2017-05-17,3
2017-05-31,3
2017-06-07,3
2017-06-14,3
2017-06-21,3
2017-06-28,3
2017-07-10,3
2017-07-18,3
2017-07-26,3
2017-08-02,7
2017-08-07,7
2017-09-04,7
2017-09-13,7
2017-09-20,5
2017-09-25,5
2017-10-09,5
2017-10-23,5
2017-10-30,5
2017-11-08,5
2017-11-13,5
2017-11-20,5
2017-11-29,5
2017-12-06,5
2017-12-13,5
2017-12-18,5
2018-01-01,5
2018-01-17,5
2018-01-24,4
2018-01-29,3
2018-02-07,3
2018-02-12,3
2018-02-21,3
2018-02-26,3
2018-03-05,3
2018-03-21,4
2018-04-11,5
2018-04-18,5
2018-04-23,5
2018-05-16,5
2018-05-23,5
2018-05-30,5
2018-06-06,5
2018-06-13,5
2018-06-26,4
2018-07-11,1
2018-07-16,1
2018-07-25,1
2018-08-01,1
2018-08-06,1
2018-08-29,1
2018-09-12,1
2018-09-19,1
2018-09-24,1
2018-10-08,1
2018-10-31,1
2018-11-07,1
2018-11-12,1
2018-11-19,1
2018-11-28,1
2018-12-03,1
2018-12-12,1
2018-12-17,1
2019-01-01,1
2019-01-21,1
2019-02-04,1
2019-02-11,1
2019-02-19,1
2019-02-25,1
2019-03-05,1
2019-03-12,1
2019-03-20,1
2019-03-26,1
2019-04-01,1
2019-04-03,1
2019-04-15,1
2019-04-22,1
2019-04-30,1
2019-05-06,1
2019-05-13,1
2019-05-21,1
2019-06-03,1
2019-07-08,1
2019-07-15,1
2019-07-22,1
2019-07-29,1
2019-08-05,1
2019-08-12,1
2019-08-19,7
2019-09-02,7
2019-09-09,6
2019-09-16,6
2019-09-23,6
2019-09-30,6
2019-10-07,6
2019-10-14,5
2019-10-21,5
2019-10-28,6
2019-11-04,6
2019-11-11,6
2019-11-18,6
2019-12-10,6
2019-12-16,6
2019-12-24,6
2020-01-20,6
