date,rank
2013-02-04,8
2013-02-11,8
2013-02-18,8
2013-02-25,7
2013-03-04,7
2013-03-18,7
2013-04-08,7
2013-04-15,7
2013-04-22,7
2013-04-29,7
2013-05-28,7
2013-06-10,7
2013-06-18,7
2013-07-08,7
2013-07-29,7
2013-08-05,7
2013-08-19,7
2013-08-30,7
2013-09-02,6
2013-09-06,6
2013-09-23,7
2013-10-11,7
2013-10-21,7
2013-10-28,7
2013-11-08,7
2013-11-11,7
2013-11-18,7
2013-12-03,7
2013-12-09,7
2013-12-16,5
2013-12-30,4
2014-01-07,4
2014-01-17,4
2014-01-27,4
2014-02-03,5
2014-02-17,5
2014-02-18,5
2014-02-24,5
2014-02-25,5
2014-03-03,6
2014-03-04,6
2014-03-10,5
2014-03-17,5
2014-03-24,5
2014-03-25,5
2014-04-14,5
2014-04-18,6
2014-04-21,5
2014-04-28,5
2014-05-05,5
2014-05-06,5
2014-05-12,5
2014-05-26,4
2014-05-28,4
2014-06-02,4
2014-06-09,4
2014-06-16,4
2014-06-30,4
2014-07-08,4
2014-07-21,4
2014-07-28,4
2014-08-18,4
2014-08-25,5
2014-09-01,4
2014-09-08,4
2014-09-09,4
2014-09-15,4
2014-09-22,4
2014-09-29,3
2014-10-06,3
2014-10-27,3
2014-11-10,3
2014-11-17,3
2014-11-24,3
2014-12-08,3
2014-12-15,3
2014-12-22,3
2015-01-05,3
2015-01-20,3
2015-01-26,3
2015-02-02,3
2015-02-16,3
2015-02-24,3
2015-03-02,3
2015-03-16,3
2015-03-23,3
2015-04-06,3
2015-04-13,3
2015-04-20,3
2015-04-27,2
2015-05-11,2
2015-05-25,2
2015-06-01,3
2015-06-08,2
2015-06-15,3
2015-06-22,3
2015-06-29,3
2015-07-13,3
2015-07-20,3
2015-07-27,3
2015-08-03,3
2015-08-10,3
2015-08-25,3
2015-09-07,2
2015-09-28,2
2015-10-05,2
2015-10-26,2
2015-11-09,2
2015-11-16,2
2015-11-23,2
2015-11-30,2
2015-12-14,1
2015-12-21,1
2016-01-04,2
2016-01-19,2
2016-02-01,2
2016-02-08,2
2016-02-23,2
2016-02-29,2
2016-03-07,2
2016-03-21,2
2016-04-12,2
2016-04-18,2
2016-04-25,2
2016-05-10,2
2016-05-16,2
2016-05-31,2
2016-06-06,2
2016-06-20,2
2016-07-11,1
2016-07-15,1
2016-07-27,1
2016-08-03,1
2016-08-09,1
2016-08-24,1
2016-08-31,1
2016-09-05,1
2016-09-14,1
2016-09-21,1
2016-09-26,1
2016-10-05,1
2016-10-12,1
2016-11-07,1
2016-11-16,1
2016-11-21,1
2016-11-30,1
2016-12-05,1
2016-12-14,1
2016-12-19,1
2017-01-02,1
2017-01-18,1
2017-02-01,1
2017-02-08,1
2017-02-13,1
2017-02-21,1
2017-03-06,1
2017-03-15,1
2017-03-22,1
2017-04-12,1
2017-04-19,1
2017-04-26,1
2017-05-17,1
2017-05-31,1
2017-06-07,1
2017-06-14,1
2017-06-21,1
2017-06-28,1
2017-07-10,1
2017-07-18,1
2017-07-26,1
2017-08-02,2
2017-08-07,2
2017-09-04,1
2017-09-13,1
2017-09-20,1
2017-09-25,1
2017-10-09,1
2017-10-23,1
2017-10-30,1
2017-11-08,1
2017-11-13,1
2017-11-20,1
2017-11-29,1
2017-12-06,1
2017-12-13,1
2017-12-18,1
2018-01-01,1
2018-01-17,1
2018-01-24,1
2018-01-29,1
2018-02-07,1
2018-02-12,1
2018-02-21,1
2018-02-26,1
2018-03-05,1
2018-03-21,1
2018-04-11,1
2018-04-18,1
2018-04-23,1
2018-05-16,1
2018-05-23,1
2018-05-30,1
2018-06-06,1
2018-06-13,1
2018-06-26,1
2018-07-11,2
2018-07-16,2
2018-07-25,2
2018-08-01,2
2018-08-06,6
2018-08-29,6
2018-09-12,7
2018-09-19,7
2018-09-24,7
2018-10-08,7
