date,rank
2013-02-04,7
2013-02-11,7
2013-02-18,7
2013-02-25,8
2013-03-04,9
2013-03-18,9
2013-04-08,9
2013-04-15,9
2013-04-22,9
2013-04-29,9
2013-05-28,9
2013-06-10,9
2013-06-18,9
2013-07-08,9
2013-07-29,10
2013-08-05,9
2013-08-19,10
2013-08-30,10
2013-12-30,13
2014-01-07,13
2014-01-17,15
2014-01-27,15
2014-09-29,15
2014-10-06,14
2014-10-27,13
2014-11-10,13
2014-11-17,12
2014-11-24,12
2014-12-08,13
2014-12-15,13
2014-12-22,13
2015-01-05,13
2015-01-20,13
2015-01-26,14
2015-02-02,14
2015-02-16,14
2015-02-24,14
2015-03-02,14
2015-04-27,15
2015-05-11,15
2016-01-19,9
2016-02-01,8
2016-02-08,7
2016-02-23,4
2016-02-29,4
2016-03-07,4
2016-03-21,5
2016-04-12,5
2016-04-18,5
2016-04-25,5
2016-05-10,5
2016-05-16,4
2016-05-31,4
2016-06-06,3
2016-06-20,3
2016-07-11,2
2016-07-15,2
2016-07-27,2
2016-08-03,2
2016-08-09,2
2016-08-24,2
2016-08-31,2
2016-09-05,2
2016-09-14,2
2016-09-21,2
2016-09-26,2
2016-10-05,2
2016-10-12,2
2016-11-07,2
2016-11-16,3
2016-11-21,3
2016-11-30,3
2016-12-05,3
2016-12-14,3
2016-12-19,3
2017-01-02,8
2017-01-18,8
2017-02-01,8
2017-02-08,8
2017-02-13,8
2017-02-21,8
2017-03-06,9
2017-03-15,9
2017-03-22,9
2017-04-12,8
2017-04-19,8
2017-04-26,8
2017-05-17,8
2017-05-31,8
2017-06-07,8
2017-06-14,8
2017-06-21,8
2017-06-28,8
2017-07-10,9
2017-07-18,10
2017-07-26,10
2017-08-02,10
2017-08-07,10
2017-09-04,10
2017-09-13,10
2017-09-20,9
2017-09-25,9
2017-10-09,9
2017-10-23,9
2017-10-30,9
2017-12-06,15
2017-12-13,15
2017-12-18,15
2018-10-31,15
