date,rank
2015-01-26,15
2015-02-02,15
2015-02-16,15
2015-02-24,15
2015-03-02,15
2015-03-16,14
2015-03-23,14
2015-04-06,14
2015-04-13,14
2015-04-20,14
2015-04-27,13
2015-05-11,12
2015-05-25,14
2015-06-01,14
2015-06-08,14
2015-06-15,6
2015-06-22,6
2015-06-29,6
2015-07-13,5
2015-07-20,5
2015-07-27,6
2015-08-03,6
2015-08-10,6
2015-08-25,7
2015-09-07,6
2015-09-28,7
2015-10-05,7
2015-10-26,7
2015-11-09,7
2015-11-16,7
2015-11-23,6
2015-11-30,6
2015-12-14,5
2015-12-21,5
2016-01-04,7
2016-01-19,5
2016-02-01,5
2016-02-08,5
2016-02-23,6
2016-02-29,5
2016-03-07,4
2016-03-21,4
2016-04-12,4
2016-04-18,4
2016-04-25,4
2016-05-10,4
2016-05-16,15
2016-05-31,15
2016-06-06,15
2016-06-20,15
