date,rank
2013-02-04,9
2013-02-11,9
2013-02-25,10
2013-03-04,10
2013-03-18,10
2013-04-08,10
2013-04-15,10
2013-04-22,10
2013-04-29,10
2013-05-28,10
2013-06-10,10
2013-06-18,10
2015-05-25,13
2015-06-01,13
2015-06-08,13
2015-06-15,14
2015-06-22,14
2015-06-29,14
2015-07-13,15
2015-07-20,15
2015-07-27,14
2015-08-03,14
2015-08-10,13
2015-08-25,13
2015-09-07,13
2015-09-28,13
2015-10-05,13
2015-10-26,12
2015-11-09,12
2016-02-08,15
2016-02-23,14
2016-02-29,14
2016-03-07,12
2016-03-21,12
2016-04-12,12
2016-04-18,12
2016-04-25,12
2016-05-10,12
2016-05-16,11
2016-05-31,11
2016-06-06,10
2016-06-20,10
2016-07-11,14
2016-07-15,14
2016-07-27,15
2016-08-09,15
2016-08-24,15
2016-08-31,15
2016-09-05,15
2016-09-14,15
2016-09-21,15
2017-05-17,15
2017-05-31,15
2017-06-07,15
2017-06-14,15
2017-06-21,15
2017-06-28,15
