date,rank
2013-12-30,15
2014-01-07,15
2014-01-17,14
2014-01-27,14
2014-02-03,14
2014-02-17,13
2014-02-18,13
2014-02-24,13
2014-02-25,13
2014-03-03,13
2014-03-04,13
2014-03-10,14
2014-03-17,14
2014-03-24,13
2014-03-25,14
2014-04-14,15
2014-04-18,14
2014-04-21,13
2014-04-28,13
2014-05-05,13
2014-05-06,13
2014-05-12,14
2014-05-26,15
2014-05-28,15
2014-06-02,15
2014-06-09,15
2014-06-16,15
2014-06-30,15
2014-07-08,15
2014-07-21,15
2014-08-25,15
2014-09-01,15
2014-09-08,15
2014-09-09,15
2014-09-15,15
2014-09-22,15
