date,rank
2018-08-06,12
2018-08-29,12
2018-09-12,11
2018-09-19,11
2018-09-24,11
2018-10-08,9
2018-10-31,8
2018-11-07,10
2018-11-12,10
2018-11-19,10
2018-11-28,10
2018-12-03,10
2018-12-12,10
2018-12-17,10
2019-01-01,11
2019-01-21,5
2019-02-04,5
2019-02-11,5
2019-02-19,5
2019-02-25,5
2019-03-05,5
2019-03-12,5
2019-03-20,5
2019-03-26,5
2019-04-01,5
2019-04-03,5
2019-04-15,4
2019-04-22,4
2019-04-30,4
2019-05-06,4
2019-05-13,4
2019-05-21,4
2019-06-03,4
2019-07-08,4
2019-07-15,4
2019-07-22,4
2019-07-29,4
2019-08-05,4
2019-08-12,4
2019-08-19,3
2019-09-02,3
2019-09-09,3
2019-09-16,3
2019-09-23,3
2019-09-30,3
2019-10-07,3
2019-10-14,3
2019-10-21,3
2019-10-28,3
2019-11-04,3
2019-11-11,3
2019-11-18,3
2019-12-10,3
2019-12-16,3
2019-12-24,3
2020-01-20,3
