date,rank
2015-08-10,15
2015-08-25,15
2015-09-07,15
2015-09-28,14
2015-10-05,14
2015-10-26,14
2015-11-09,14
2015-11-16,14
2015-11-23,13
2015-11-30,13
2015-12-14,14
2015-12-21,13
2016-01-04,13
2016-01-19,14
2016-02-01,14
2016-02-08,14
2016-02-23,15
2016-02-29,15
2016-03-07,14
2016-03-21,14
2016-04-12,14
2016-04-18,14
2016-04-25,14
2016-05-10,14
2016-05-16,12
2016-05-31,12
2016-06-06,12
2016-06-20,12
2016-07-11,9
2016-07-15,9
2016-07-27,9
2016-08-03,8
2016-08-09,7
2016-08-24,7
2016-08-31,7
2016-09-05,7
2016-09-14,8
2016-09-21,8
2016-09-26,8
2016-10-05,8
2016-10-12,8
2016-11-07,8
2016-11-16,7
2016-11-21,7
2016-11-30,7
2016-12-05,7
2016-12-14,7
2016-12-19,7
2017-01-02,7
2017-01-18,6
2017-02-01,7
2017-02-08,7
2017-02-13,7
2017-02-21,7
2017-03-06,7
2017-03-15,7
2017-03-22,7
2017-04-12,7
2017-04-19,7
2017-04-26,7
2017-05-17,7
2017-05-31,7
2017-06-07,7
2017-06-14,7
2017-06-21,7
2017-06-28,7
2017-07-10,7
2017-07-18,8
2017-07-26,8
2017-08-02,8
2017-08-07,8
2017-09-04,8
2017-09-13,8
2017-09-20,7
2017-09-25,7
2017-10-09,7
2017-10-23,7
2017-10-30,7
2017-11-08,15
2017-11-13,15
2017-11-20,15
2017-11-29,15
2017-12-06,14
2017-12-13,14
2017-12-18,14
2018-01-01,15
2018-01-17,15
2018-01-24,15
2018-01-29,15
2018-02-07,15
2018-02-12,15
2018-02-21,15
2018-02-26,15
2018-03-05,15
2018-03-21,15
