date,rank
2013-12-30,10
2014-01-07,11
2014-01-17,11
2014-01-27,10
2014-02-03,10
2014-02-17,10
2014-02-18,10
2014-02-24,10
2014-02-25,10
2014-03-03,10
2014-03-04,10
2014-03-10,9
2014-03-17,9
2014-03-24,9
2014-03-25,9
2014-04-14,9
2014-04-18,9
2014-04-21,9
2014-04-28,9
2014-05-05,9
2014-05-06,9
2014-05-12,9
2014-05-26,9
2014-05-28,9
2014-06-02,9
2014-06-09,9
2014-06-16,9
2014-06-30,9
2014-07-08,10
2014-07-21,10
2014-07-28,10
2014-08-18,10
2014-08-25,9
2014-09-01,10
2014-09-08,10
2014-09-09,10
2014-09-15,9
2014-09-22,9
2014-09-29,9
2014-10-06,8
2014-10-27,9
2014-11-10,9
2014-11-17,9
2014-11-24,9
2014-12-08,12
2014-12-15,12
2014-12-22,12
2015-01-05,12
2015-01-20,12
2015-01-26,12
2015-02-02,12
2015-02-16,12
2015-02-24,12
2015-03-02,12
2015-03-16,13
2015-03-23,13
2015-04-06,13
2015-04-13,13
2015-04-20,13
2015-04-27,12
2015-05-11,13
2015-05-25,15
2015-06-01,15
2015-06-08,15
2015-06-15,15
2015-06-22,15
2015-06-29,15
2015-07-27,15
2015-08-03,15
2015-08-10,14
2015-08-25,14
2015-09-07,14
2015-09-28,15
2015-10-05,15
