date,rank
2013-02-04,2
2013-02-11,2
2013-02-18,2
2013-02-25,2
2013-03-04,2
2013-03-18,2
2013-04-08,2
2013-04-15,2
2013-04-22,2
2013-04-29,2
2013-05-28,2
2013-06-10,2
2013-06-18,2
2013-07-08,1
2013-07-29,1
2013-08-05,1
2013-08-19,1
2013-08-30,1
2013-09-02,1
2013-09-06,1
2013-09-23,1
2013-10-11,1
2013-10-21,1
2013-10-28,1
2013-11-08,1
2013-11-11,1
2013-11-18,1
2013-12-03,1
2013-12-09,1
2013-12-16,1
2013-12-30,1
2014-01-07,1
2014-01-17,1
2014-01-27,1
2014-02-03,1
2014-02-17,1
2014-02-18,1
2014-02-24,1
2014-02-25,1
2014-03-03,1
2014-03-04,1
2014-03-10,1
2014-03-17,1
2014-03-24,1
2014-03-25,1
2014-04-14,1
2014-04-18,1
2014-04-21,1
2014-04-28,1
2014-05-05,1
2014-05-06,1
2014-05-12,1
2014-05-26,1
2014-05-28,1
2014-06-02,1
2014-06-09,1
2014-06-16,1
2014-06-30,1
2014-07-08,1
2014-07-21,1
2014-07-28,1
2014-08-18,1
2014-08-25,1
2014-09-01,1
2014-09-08,1
2014-09-09,1
2014-09-15,1
2014-09-22,1
2014-09-29,1
2014-10-06,1
2014-10-27,1
2014-11-10,1
2014-11-17,1
2014-11-24,1
2014-12-08,1
2014-12-15,1
2014-12-22,1
2015-01-05,1
2015-01-20,1
2015-01-26,1
2015-02-02,1
2015-02-16,1
2015-02-24,1
2015-03-02,1
2015-03-16,1
2015-03-23,1
2015-04-06,1
2015-04-13,1
2015-04-20,1
2015-11-16,5
2015-11-23,4
2015-11-30,4
2015-12-14,2
2015-12-21,2
2016-01-04,1
2016-01-19,1
2016-02-01,1
2016-02-08,1
2016-02-23,1
2016-02-29,1
2016-03-07,1
2016-03-21,1
2016-04-12,1
2016-04-18,1
2016-04-25,1
2016-05-10,1
2016-05-16,1
2016-05-31,1
2016-06-06,1
2016-06-20,1
2016-07-11,3
2016-07-15,3
2016-07-27,3
2016-08-03,4
2017-07-18,7
2017-07-26,5
2017-08-02,1
2017-08-07,1
2017-09-04,3
2017-09-13,3
2018-11-07,3
2018-11-12,3
2018-11-19,3
2018-11-28,3
2018-12-03,3
2018-12-12,3
2018-12-17,3
2019-01-01,2
2019-01-21,2
2019-02-04,2
2019-02-11,2
2019-02-19,2
2019-02-25,2
2019-03-05,2
2019-03-12,2
2019-03-20,2
2019-03-26,2
2019-04-01,2
2019-04-03,2
2019-04-15,2
2019-04-22,2
2019-04-30,2
2019-05-06,2
2019-05-13,2
2019-05-21,2
2019-06-03,2
2019-07-08,2
2019-07-15,2
2019-07-22,3
2019-07-29,3
2019-08-05,3
2019-08-12,2
2019-08-19,1
2019-09-02,1
2019-09-09,1
2019-09-16,1
2019-09-23,1
2019-09-30,1
2019-10-07,1
2019-10-14,1
2019-10-21,1
2019-10-28,1
2019-11-04,1
2019-11-11,1
2019-11-18,1
2019-12-10,1
2019-12-16,1
2019-12-24,1
2020-01-20,1
