date,rank
2019-03-05,9
2019-03-12,9
2019-03-20,8
2019-03-26,7
2019-04-01,7
2019-04-03,7
2019-04-15,7
2019-04-22,7
2019-04-30,7
2019-05-06,7
2019-05-13,7
2019-05-21,7
2019-06-03,7
2019-07-08,7
2019-07-15,7
2019-07-22,7
2019-07-29,7
2019-08-05,7
2019-08-12,8
2019-08-19,9
2019-09-02,9
2019-09-09,8
2019-09-16,8
2019-09-23,8
2019-09-30,8
2019-10-07,8
2019-10-14,10
2019-10-21,10
2019-10-28,10
2019-11-04,10
2019-11-11,10
2019-11-18,10
2019-12-10,10
2019-12-16,8
2019-12-24,8
2020-01-20,8
