date,rank
2016-11-16,15
2016-11-21,14
2016-11-30,14
2016-12-05,14
2016-12-14,12
2016-12-19,12
2017-01-02,13
2017-01-18,14
2017-02-01,14
2017-02-08,14
2017-02-13,13
2017-02-21,13
2017-03-06,14
2017-03-15,14
2017-03-22,14
2017-04-12,14
2017-04-19,14
2017-04-26,14
2017-05-17,14
2017-05-31,14
2017-06-07,14
2017-06-14,14
2017-06-21,14
2017-06-28,14
2017-07-10,15
2018-01-01,14
2018-01-17,14
2018-01-24,14
2018-01-29,14
2018-02-07,14
2018-02-12,14
2018-02-21,14
2018-02-26,14
2018-03-05,12
2018-03-21,14
2018-04-11,8
2018-04-18,8
2018-04-23,9
2018-05-16,9
2018-05-23,9
2018-05-30,9
2018-06-06,9
2018-06-13,9
2018-06-26,9
2018-07-11,9
2018-07-16,9
2018-07-25,9
2018-08-01,8
2018-08-06,8
2018-08-29,8
2018-09-12,8
2018-09-19,8
2018-09-24,8
2018-10-08,2
2018-10-31,2
2018-11-07,2
2018-11-12,2
2018-11-19,2
2018-11-28,2
2018-12-03,2
2018-12-12,2
2018-12-17,2
2019-01-01,3
2019-01-21,3
2019-02-04,3
2019-02-11,3
2019-02-19,3
2019-02-25,3
2019-03-05,3
2019-03-12,3
2019-03-20,3
2019-03-26,3
2019-04-01,3
2019-04-03,3
2019-04-15,3
2019-04-22,3
2019-04-30,3
2019-05-06,3
2019-05-13,3
2019-05-21,3
2019-06-03,3
2019-07-08,3
2019-07-15,3
2019-07-22,2
2019-07-29,2
2019-08-05,2
2019-08-12,3
2019-08-19,2
2019-09-02,2
2019-09-09,2
2019-09-16,2
2019-09-23,2
2019-09-30,2
2019-10-07,2
2019-10-14,2
2019-10-21,2
2019-10-28,2
2019-11-04,2
2019-11-11,2
2019-11-18,2
2019-12-10,2
2019-12-16,2
2019-12-24,2
2020-01-20,2
