date,rank
2015-12-14,9
2015-12-21,9
2016-01-04,9
2016-01-19,7
2016-02-01,7
2016-02-08,8
2016-02-23,7
2016-02-29,5
2016-03-07,3
2016-03-21,3
2016-04-12,3
2016-04-18,3
2016-04-25,3
2016-05-10,3
2016-05-16,3
2016-05-31,3
2016-06-06,13
2016-06-20,13
2016-07-11,12
2016-07-15,12
2016-07-27,12
2016-08-03,14
2016-08-09,13
2016-08-24,12
2016-08-31,12
2016-09-05,12
2016-09-14,12
2016-09-21,12
2016-09-26,13
2016-10-05,13
2016-10-12,13
2016-11-07,12
2016-11-16,12
2016-11-21,12
2016-11-30,12
2016-12-05,12
2016-12-19,15
2017-01-02,15
2017-01-18,15
