date,rank
2016-12-14,10
2016-12-19,10
2017-01-02,12
2017-01-18,13
2017-02-01,13
2017-02-08,13
2017-02-13,12
2017-02-21,12
2017-03-06,12
2017-03-15,12
2017-03-22,12
2017-04-12,12
2017-04-19,12
2017-04-26,12
2017-05-17,12
2017-05-31,12
2017-06-07,5
2017-06-14,5
2017-06-21,5
2017-06-28,5
2017-07-10,5
2017-07-18,5
2017-07-26,6
2017-08-02,5
2017-08-07,5
2017-09-04,5
2017-09-13,5
2017-09-20,4
2017-09-25,4
2017-10-09,3
2017-10-23,3
2017-10-30,3
2017-11-08,4
2017-11-13,4
2017-11-20,4
2017-11-29,4
2017-12-06,4
2017-12-13,4
2017-12-18,4
2018-01-01,4
2018-01-17,4
2018-01-24,4
2018-01-29,4
2018-02-07,5
2018-02-12,5
2018-02-21,5
2018-02-26,5
2018-03-05,5
2018-03-21,6
2018-04-11,6
2018-04-18,6
2018-04-23,6
2018-05-16,6
2018-05-23,6
2018-05-30,6
2018-06-06,6
2018-06-13,6
2018-06-26,6
2018-07-11,3
2018-07-16,3
2018-07-25,3
2018-08-01,3
2018-08-06,4
2018-08-29,4
2018-09-12,4
2018-09-19,4
2018-09-24,4
2018-10-08,4
2018-10-31,4
2018-11-07,5
2018-11-12,5
2018-11-19,5
2018-11-28,5
2018-12-03,5
2018-12-12,4
2018-12-17,4
2019-01-01,4
2019-01-21,4
2019-02-04,4
2019-02-11,4
2019-02-19,4
2019-02-25,4
2019-03-05,4
2019-03-12,4
2019-03-20,4
2019-03-26,4
2019-04-01,4
2019-04-03,4
2019-04-15,5
2019-04-22,5
2019-04-30,5
2019-05-06,5
2019-05-13,5
2019-05-21,5
2019-06-03,5
2019-07-08,6
2019-07-15,6
2019-07-22,6
2019-07-29,6
2019-08-05,6
2019-08-12,5
2019-08-19,6
2019-09-02,6
2019-09-09,7
2019-09-16,7
2019-09-23,7
2019-09-30,7
2019-10-07,7
2019-10-14,7
2019-10-21,7
2019-10-28,7
2019-11-04,7
2019-11-11,7
2019-11-18,7
2019-12-10,7
2019-12-16,12
2019-12-24,12
2020-01-20,13
