date,rank
2016-06-06,9
2016-06-20,9
2016-07-11,11
2016-07-15,11
2016-07-27,11
2016-08-03,11
2016-08-09,10
2016-08-24,10
2016-08-31,10
2016-09-05,10
2016-09-14,10
2016-09-21,10
2016-09-26,10
2016-10-05,10
2016-10-12,10
2016-11-07,10
2016-11-16,9
2016-11-21,9
2016-11-30,9
2016-12-05,9
2016-12-14,9
2016-12-19,9
2017-01-02,10
2017-01-18,10
2017-02-01,10
2017-02-08,10
2017-02-13,10
2017-02-21,10
2017-03-06,10
2017-03-15,10
2017-03-22,10
2017-04-12,10
2017-04-19,10
2017-04-26,10
2017-05-17,10
2017-05-31,10
2017-06-07,11
2017-06-14,11
2017-06-21,11
2017-06-28,11
2017-07-10,10
2017-07-18,11
2017-07-26,11
2017-08-02,11
2017-08-07,11
2017-09-04,11
2017-09-13,12
2017-09-20,12
2017-09-25,12
2017-10-09,12
2017-10-23,13
2017-10-30,13
