date,rank
2015-03-16,9
2015-03-23,9
2015-04-06,9
2015-04-13,8
2015-04-20,8
2015-04-27,7
2015-05-11,7
2015-05-25,7
2015-06-01,7
2015-06-08,7
2015-06-15,7
2015-06-22,7
2015-06-29,7
2015-07-13,7
2015-07-20,8
2015-07-27,8
2015-08-03,8
2015-08-10,8
2015-08-25,8
2015-09-07,8
2015-09-28,8
2015-10-05,8
2015-10-26,9
2015-11-09,9
2015-11-16,9
2015-11-23,9
2015-11-30,9
2015-12-14,10
2015-12-21,8
2016-01-04,6
2016-01-19,6
2016-02-01,6
2016-02-08,4
2016-02-23,4
2016-02-29,7
2016-03-07,6
2016-03-21,6
2016-04-12,6
2016-04-18,6
2016-04-25,6
2016-05-10,6
2016-05-16,5
2016-05-31,6
2016-06-06,5
2016-06-20,5
2016-07-11,13
2016-07-15,13
2016-07-27,13
2016-08-03,13
2016-08-09,12
2016-08-24,13
2016-08-31,13
2016-09-05,13
2016-09-14,13
2016-09-21,13
2016-09-26,12
2016-10-05,12
2016-10-12,12
