date,rank
2013-02-18,9
2013-02-25,9
2013-03-04,8
2013-03-18,8
2013-04-08,8
2013-04-15,8
2013-04-22,8
2013-04-29,8
2013-05-28,8
2013-06-10,8
2013-06-18,8
2013-07-08,8
2013-07-29,8
2013-08-05,8
2013-08-19,8
2013-08-30,8
2013-09-02,7
2013-09-06,7
2013-09-23,6
2013-10-11,6
2013-10-21,6
2013-10-28,6
2013-11-08,6
2013-11-11,6
2013-11-18,6
2013-12-03,6
2013-12-09,6
2013-12-16,6
2013-12-30,6
2014-01-07,6
2014-01-17,6
2014-01-27,6
2014-02-03,4
2014-02-17,3
2014-02-18,3
2014-02-24,3
2014-02-25,3
2014-03-03,3
2014-03-04,3
2014-03-10,3
2014-03-17,3
2014-03-24,3
2014-03-25,3
2014-04-14,3
2014-04-18,3
2014-04-21,3
2014-04-28,3
2014-05-05,3
2014-05-06,3
2014-05-12,3
2014-05-26,8
2014-05-28,8
2014-06-02,8
2014-06-09,8
2014-06-16,8
2014-06-30,8
2014-07-08,8
2014-07-21,8
2014-07-28,8
2014-08-18,8
2014-08-25,8
2014-09-01,9
2014-09-08,9
2014-09-09,9
2014-09-15,10
2014-09-22,10
2014-09-29,10
2014-10-06,11
2014-10-27,11
2014-11-10,11
2014-11-17,11
2014-11-24,11
2014-12-08,10
2014-12-15,10
2014-12-22,10
2015-01-05,10
2015-01-20,10
2015-01-26,10
2015-02-02,11
2015-02-16,11
2015-02-24,11
2015-03-02,11
2015-03-16,12
2015-03-23,12
2015-04-06,12
2015-04-13,12
2015-04-20,12
2015-04-27,11
2015-05-11,10
2015-05-25,12
2015-06-01,11
2015-06-08,12
2015-06-15,13
2015-06-22,12
2015-06-29,12
2015-07-13,12
2015-07-20,12
2015-10-26,15
2015-11-09,15
