date,rank
2014-12-08,11
2014-12-15,11
2014-12-22,11
2015-01-05,11
2015-01-20,11
2015-01-26,11
2015-02-02,10
2015-02-16,10
2015-02-24,10
2015-03-02,10
2015-03-16,8
2015-03-23,8
2015-04-06,8
2015-04-13,9
2015-04-20,9
2015-04-27,8
2015-05-11,8
2015-05-25,8
2015-06-01,8
2015-06-08,8
2015-06-15,8
2015-06-22,8
2015-06-29,8
2015-07-13,8
2015-07-20,7
2015-07-27,7
2015-08-03,7
2015-08-10,7
2015-08-25,6
2015-09-07,7
2015-09-28,6
2015-10-05,6
2015-10-26,6
2015-11-09,6
2015-11-16,6
2015-11-23,7
2015-11-30,7
2015-12-14,6
2015-12-21,6
2016-01-04,5
2016-01-19,4
2016-02-01,4
2016-02-08,6
2016-02-23,8
2016-02-29,8
2016-03-07,7
2016-03-21,7
2016-04-12,7
2016-04-18,7
2016-04-25,7
2016-05-10,7
2016-05-16,6
2016-05-31,5
2016-06-06,4
2016-06-20,4
2016-07-11,4
2016-07-15,4
2016-07-27,4
2016-08-03,12
2016-08-09,11
2016-08-24,11
2016-08-31,11
2016-09-05,11
2016-09-14,11
2016-09-21,11
2016-09-26,11
2016-10-05,11
2016-10-12,11
2016-11-07,11
2016-11-16,11
2016-11-21,11
2016-11-30,11
2016-12-05,11
2016-12-14,15
2016-12-19,14
