date,rank
2017-07-10,13
2017-07-18,14
2017-07-26,14
2017-08-02,15
2017-08-07,15
2017-09-04,14
2017-09-13,14
2017-09-20,14
2017-09-25,14
2017-10-09,15
2017-10-23,15
2017-10-30,15
2017-11-08,14
2017-11-13,13
2017-11-20,13
2017-11-29,13
2017-12-06,12
2017-12-13,12
2017-12-18,12
2018-01-01,12
2018-01-17,12
2018-01-24,12
2018-01-29,12
2018-02-07,12
2018-02-12,11
2018-02-21,11
2018-02-26,11
2018-03-05,11
2018-03-21,12
2018-04-11,13
2018-04-18,13
2018-04-23,13
2018-05-16,13
2018-05-23,13
2018-05-30,13
2018-06-06,13
2018-06-13,11
2018-06-26,11
2018-07-11,10
2018-07-16,10
2018-07-25,10
2018-08-01,10
2018-08-06,10
2018-08-29,10
2018-09-12,12
2018-09-19,12
2018-09-24,12
2018-10-08,12
2018-10-31,11
2018-11-07,12
2018-11-12,12
2018-11-19,12
2018-11-28,12
2018-12-03,12
2018-12-12,12
2018-12-17,12
2019-01-01,12
2019-01-21,12
2019-02-04,12
2019-02-11,12
2019-02-19,12
2019-02-25,12
2019-03-05,11
2019-03-12,11
2019-03-20,11
2019-03-26,9
2019-04-01,9
2019-04-03,9
2019-04-15,10
2019-04-22,10
2019-04-30,10
2019-05-06,10
2019-05-13,10
2019-05-21,10
2019-06-03,10
2019-07-08,10
2019-07-15,8
2019-07-22,10
2019-07-29,10
2019-08-05,10
2019-08-12,9
2019-08-19,11
2019-09-02,11
2019-09-09,10
2019-09-16,10
2019-09-23,9
2019-09-30,9
2019-10-07,9
2019-10-14,14
2019-10-21,14
2019-10-28,14
2019-11-04,14
2019-11-11,14
2019-11-18,13
2019-12-10,13
2019-12-16,13
