date,rank
2013-12-16,10
2013-12-30,11
2014-01-07,10
2014-01-17,10
2014-01-27,9
2014-02-03,9
2014-02-17,9
2014-02-18,9
2014-02-24,9
2014-02-25,9
2014-03-03,9
2014-03-04,9
2014-03-10,10
2014-03-17,10
2014-03-24,10
2014-03-25,10
2014-04-14,10
2014-04-18,10
2014-04-21,10
2014-04-28,10
2014-05-05,10
2014-05-06,10
2014-05-12,10
2014-05-26,10
2014-05-28,10
2014-06-02,10
2014-06-09,10
2014-06-16,10
2014-06-30,10
2014-07-08,9
2014-07-21,9
2014-07-28,9
2014-08-18,9
2014-08-25,10
2014-09-01,8
2014-09-08,8
2014-09-09,8
2014-09-15,8
2014-09-22,8
2014-09-29,8
2014-10-06,9
2014-10-27,8
2014-11-10,8
2014-11-17,7
2014-11-24,8
2014-12-08,7
2014-12-15,7
2014-12-22,7
2015-01-05,7
2015-01-20,8
2015-01-26,7
2015-02-02,7
2015-02-16,7
2015-02-24,7
2015-03-02,7
2015-03-16,6
2015-03-23,6
2015-04-06,6
2015-04-13,6
2015-04-20,6
2015-04-27,5
2015-05-11,4
2015-05-25,5
2015-06-01,5
2015-06-08,5
2015-06-15,4
2015-06-22,4
2015-06-29,4
2015-07-13,4
2015-07-20,4
2015-07-27,4
2015-08-03,4
2015-08-10,4
2015-08-25,4
2015-09-07,4
2015-09-28,4
2015-10-05,4
2015-10-26,4
2015-11-09,4
2015-11-16,11
2015-11-23,11
2015-11-30,11
2015-12-14,13
2015-12-21,14
2016-01-04,14
2016-02-01,15
