date,rank
2018-04-11,15
2018-04-18,15
2018-04-23,15
2018-05-16,15
2018-05-23,15
2018-05-30,15
2018-06-06,15
2018-06-13,15
2018-06-26,15
2018-07-11,15
2018-07-16,15
2018-07-25,15
2018-08-01,15
2018-08-06,15
2018-08-29,15
2018-09-12,15
2018-09-19,15
2018-09-24,15
2018-10-08,15
2018-10-31,14
2018-11-07,15
2018-11-12,15
2018-11-19,15
2018-11-28,15
2018-12-03,15
2018-12-12,15
2018-12-17,15
2019-01-01,14
2019-01-21,14
2019-02-04,14
2019-02-11,14
2019-02-19,14
2019-02-25,14
2019-03-05,14
2019-03-12,14
2019-03-20,14
2019-03-26,13
2019-04-01,13
2019-04-03,13
2019-04-15,14
2019-04-22,14
2019-04-30,14
2019-05-06,14
2019-05-21,14
