date,rank
2016-05-16,13
2016-05-31,13
2016-06-06,11
2016-06-20,11
2016-07-11,10
2016-07-15,10
2016-07-27,10
2016-08-03,9
2016-08-09,8
2016-08-24,8
2016-08-31,8
2016-09-05,8
2016-09-14,6
2016-09-21,6
2016-09-26,6
2016-10-05,6
2016-10-12,6
2016-11-07,6
2016-11-16,6
2016-11-21,6
2016-11-30,6
2016-12-05,6
2016-12-14,6
2016-12-19,6
2017-01-02,6
2017-01-18,7
2017-02-01,6
2017-02-08,6
2017-02-13,6
2017-02-21,6
2017-03-06,6
2017-03-15,6
2017-03-22,6
2017-04-12,6
2017-04-19,6
2017-04-26,6
2017-05-17,5
2017-05-31,5
2017-06-07,4
2017-06-14,4
2017-06-21,4
2017-06-28,4
2017-07-10,4
2017-07-18,4
2017-07-26,4
2017-08-02,4
2017-08-07,4
2017-09-04,4
2017-09-13,4
2017-09-20,3
2017-09-25,3
2017-10-09,3
2017-10-23,4
2017-10-30,4
2017-11-08,6
2017-11-13,7
2017-11-20,7
2017-11-29,7
2017-12-06,7
2017-12-13,7
2017-12-18,7
2018-01-01,7
2018-01-17,7
2018-01-24,6
2018-01-29,4
2018-02-07,4
2018-02-12,4
2018-02-21,4
2018-02-26,4
2018-03-05,4
2018-03-21,4
2018-04-11,4
2018-04-18,3
2018-04-23,3
2018-05-16,3
2018-05-23,3
2018-05-30,3
2018-06-06,3
2018-06-13,2
2018-06-26,2
2018-07-11,7
2018-07-16,8
2018-07-25,8
2018-08-01,9
2018-08-06,9
2018-08-29,9
2018-09-12,9
2018-09-19,9
2018-09-24,9
2018-10-08,9
2018-10-31,9
2018-11-07,9
2018-11-12,9
2018-11-19,9
2018-11-28,9
2018-12-03,9
2018-12-12,9
2018-12-17,9
2019-01-01,10
2019-01-21,11
2019-02-04,11
2019-02-11,11
2019-02-19,11
2019-02-25,10
2019-03-05,10
2019-03-12,10
2019-03-20,10
2019-03-26,10
2019-04-01,10
2019-04-03,10
2019-04-15,11
2019-04-22,11
2019-04-30,11
2019-05-06,11
2019-05-13,11
2019-05-21,11
2019-06-03,11
2019-07-08,11
2019-07-15,11
2019-07-22,9
2019-07-29,9
2019-08-05,9
2019-08-12,11
2019-08-19,4
2019-09-02,4
2019-09-09,4
2019-09-16,4
2019-09-23,4
2019-09-30,4
2019-10-07,4
2019-10-14,4
2019-10-21,4
2019-10-28,4
2019-11-04,4
2019-11-11,4
2019-11-18,4
2019-12-10,4
2019-12-16,4
2019-12-24,4
2020-01-20,4
