date,rank
2014-05-26,11
2014-05-28,11
2014-06-02,11
2014-06-09,11
2014-06-16,11
2014-06-30,11
2014-07-08,11
2014-07-21,11
2014-07-28,11
2014-08-18,11
2014-08-25,11
2014-09-01,11
2014-09-08,11
2014-09-09,11
2014-09-15,11
2014-09-22,11
2014-09-29,11
2014-10-06,10
2014-10-27,10
2014-11-10,10
2014-11-17,10
2014-11-24,10
2014-12-08,9
2014-12-15,9
2014-12-22,9
2015-01-05,9
2015-01-20,7
2015-01-26,8
2015-02-02,9
2015-02-16,8
2015-02-24,8
2015-03-02,8
2015-03-16,7
2015-03-23,7
2015-04-06,7
2015-04-13,7
2015-04-20,7
2015-04-27,6
2015-05-11,6
2015-05-25,6
2015-06-01,6
2015-06-08,6
2015-06-15,5
2015-06-22,5
2015-06-29,5
2015-07-13,5
2015-07-20,6
2015-07-27,5
2015-08-03,5
2015-08-10,5
2015-08-25,5
2015-09-07,5
2015-09-28,5
2015-10-05,5
2015-10-26,5
2015-11-09,5
2015-11-16,4
2015-11-23,5
2015-11-30,5
2015-12-14,4
2015-12-21,4
2016-01-04,4
2016-01-19,12
2016-02-01,12
2016-02-08,12
2016-02-23,12
2016-02-29,12
2016-03-07,13
2016-03-21,13
2016-04-12,13
2016-04-18,13
2016-04-25,13
2016-05-10,13
2016-05-16,14
2016-05-31,14
2016-07-11,15
2016-07-15,15
2016-07-27,14
2016-08-03,15
2016-08-09,14
2016-08-24,14
2016-08-31,14
2016-09-05,14
2016-09-14,14
2016-09-21,14
2016-09-26,14
2016-10-05,14
2016-10-12,14
2016-11-07,13
2016-11-16,14
2016-11-21,15
2016-11-30,15
2016-12-05,15
2016-12-14,14
2016-12-19,13
2017-01-02,14
2017-01-18,12
2017-02-01,12
2017-02-08,12
2017-02-13,14
2017-02-21,14
2017-03-06,13
2017-03-15,13
2017-03-22,13
2017-04-12,13
2017-04-19,13
2017-04-26,13
2017-05-17,13
2017-05-31,13
2017-06-07,13
2017-06-14,13
2017-06-21,13
2017-06-28,13
2017-07-10,14
2017-07-18,15
2017-07-26,15
2017-08-02,15
2017-09-13,15
2017-09-20,15
2017-09-25,15
2017-11-08,7
2017-11-13,6
2017-11-20,6
2017-11-29,6
2017-12-06,6
2017-12-13,6
2017-12-18,6
2018-01-01,6
2018-01-17,6
2018-01-24,7
2018-01-29,7
2018-02-07,7
2018-02-12,7
2018-02-21,7
2018-02-26,7
2018-03-05,7
2018-03-21,7
2018-04-11,7
2018-04-18,7
2018-04-23,7
2018-05-16,7
2018-05-23,7
2018-05-30,7
2018-06-06,7
2018-06-13,7
2018-06-26,7
2018-07-11,6
2018-07-16,6
2018-07-25,6
2018-08-01,6
2018-08-06,3
2018-08-29,3
2018-09-12,3
2018-09-19,3
2018-09-24,3
2018-10-08,3
2018-10-31,3
2018-11-07,4
2018-11-12,4
2018-11-19,4
2018-11-28,4
2018-12-03,4
2018-12-12,5
2018-12-17,5
2019-01-01,5
2019-01-21,9
2019-02-04,9
2019-02-11,9
2019-02-19,9
2019-02-25,8
2019-03-05,7
2019-03-12,7
2019-03-20,7
