date,rank
2017-10-09,13
2017-10-23,12
2017-10-30,12
2017-11-08,9
2017-11-13,9
2017-11-20,9
2017-11-29,9
2017-12-06,9
2017-12-13,9
2017-12-18,9
2018-01-01,10
2018-01-17,10
2018-01-24,10
2018-01-29,10
2018-02-07,10
2018-02-12,9
2018-02-21,10
2018-02-26,10
2018-03-05,10
2018-03-21,10
2018-04-11,11
2018-04-18,11
2018-04-23,11
2018-05-16,11
2018-05-23,11
2018-05-30,11
2018-06-06,11
2018-06-13,12
2018-06-26,12
2018-07-11,12
2018-07-16,12
2018-07-25,12
2018-08-01,12
2018-08-06,13
2018-08-29,13
2018-09-12,13
2018-09-19,13
2018-09-24,13
2018-10-08,13
2018-10-31,12
2018-11-07,13
2018-11-12,13
2018-11-19,13
2018-11-28,13
2018-12-03,13
2018-12-12,13
2018-12-17,13
2019-01-01,13
2019-01-21,13
2019-02-04,13
2019-02-11,13
2019-02-19,13
2019-02-25,13
2019-03-05,12
2019-03-12,12
2019-03-20,12
2019-03-26,11
2019-04-01,11
2019-04-03,11
2019-04-15,12
2019-04-22,12
2019-04-30,12
2019-05-06,12
2019-05-13,12
2019-05-21,12
2019-06-03,12
2019-07-08,12
2019-07-15,12
2019-07-22,11
2019-07-29,11
2019-08-05,11
2019-08-12,10
2019-08-19,10
2019-09-02,10
2019-09-09,9
2019-09-16,9
2019-09-23,10
2019-09-30,10
2019-10-07,10
2019-10-14,9
2019-10-21,9
2019-10-28,9
2019-11-04,9
2019-11-11,9
2019-11-18,9
2019-12-10,9
2019-12-16,10
2019-12-24,10
2020-01-20,10
