date,rank
2016-08-03,10
2016-08-09,9
2016-08-24,9
2016-08-31,9
2016-09-05,9
2016-09-14,9
2016-09-21,9
2016-09-26,9
2016-10-05,9
2016-10-12,9
2016-11-07,9
2016-11-16,8
2016-11-21,8
2016-11-30,8
2016-12-05,8
2016-12-14,8
2016-12-19,8
2017-01-02,9
2017-01-18,9
2017-02-01,9
2017-02-08,9
2017-02-13,9
2017-02-21,9
2017-03-06,8
2017-03-15,8
2017-03-22,8
2017-04-12,9
2017-04-19,9
2017-04-26,9
2017-05-17,9
2017-05-31,9
2017-06-07,9
2017-06-14,9
2017-06-21,9
2017-06-28,9
2017-07-10,8
2017-07-18,9
2017-07-26,9
2017-08-02,9
2017-08-07,9
2017-09-04,9
2017-09-13,9
2017-09-20,8
2017-09-25,8
2017-10-09,8
2017-10-23,8
2017-10-30,8
2017-11-08,8
2017-11-13,8
2017-11-20,8
2017-11-29,8
2017-12-06,8
2017-12-13,8
2017-12-18,8
2018-01-01,8
2018-01-17,8
2018-01-24,8
2018-01-29,8
2018-02-07,8
2018-02-12,8
2018-02-21,8
2018-02-26,8
2018-03-05,8
2018-03-21,8
2018-04-11,9
2018-04-18,8
2018-04-23,8
2018-05-16,8
2018-05-23,8
2018-05-30,8
2018-06-06,8
2018-06-13,8
2018-06-26,8
2018-07-11,8
2018-07-16,7
2018-07-25,7
2018-08-01,7
2018-08-06,7
2018-08-29,7
2018-09-12,6
2018-09-19,6
2018-09-24,6
2018-10-08,6
2018-10-31,6
2018-11-07,7
2018-11-12,7
2018-11-19,7
2018-11-28,7
2018-12-03,7
2018-12-12,7
2018-12-17,7
2019-01-01,6
2019-01-21,6
2019-02-04,6
2019-02-11,6
2019-02-19,6
2019-02-25,6
2019-03-05,13
2019-03-12,13
2019-03-20,13
2019-03-26,12
2019-04-01,12
2019-04-03,12
2019-04-15,13
2019-04-22,13
2019-04-30,13
2019-05-06,13
2019-05-13,13
2019-05-21,13
2019-06-03,13
2019-07-08,14
2019-07-15,14
2019-07-22,14
2019-07-29,14
2019-08-05,14
2019-08-12,14
2019-08-19,14
2019-09-02,14
2019-09-09,15
2019-09-16,15
2019-09-23,15
2019-09-30,15
2019-10-07,15
2019-10-14,15
2019-10-21,15
2019-10-28,15
2019-11-04,15
2019-11-11,15
2019-11-18,15
2019-12-10,15
2019-12-24,14
2020-01-20,15
