date,rank
2013-12-30,12
2014-01-07,12
2014-01-17,12
2014-01-27,11
2014-02-03,11
2014-02-17,11
2014-02-18,11
2014-02-24,11
2014-02-25,11
2014-03-03,11
2014-03-04,11
2014-03-10,11
2014-03-17,11
2014-03-24,11
2014-03-25,11
2014-04-14,11
2014-04-18,11
2014-04-21,11
2014-04-28,11
2014-05-05,11
2014-05-06,11
2014-05-12,11
2014-05-26,12
2014-05-28,12
2014-06-02,12
2014-06-09,12
2014-06-16,12
2014-06-30,12
2014-07-08,12
2014-07-21,12
2014-07-28,12
2014-08-18,12
2014-08-25,12
2014-09-01,12
2014-09-08,12
2014-09-09,12
2014-09-15,12
2014-09-22,12
2014-09-29,12
2014-10-06,12
2014-10-27,12
2014-11-10,12
2014-11-17,13
2014-11-24,13
2014-12-08,15
2014-12-15,15
2014-12-22,15
2015-01-05,14
2015-01-20,14
2015-01-26,13
2015-02-02,13
2015-02-16,13
2015-02-24,13
2015-03-02,13
2015-03-16,15
2015-03-23,15
2015-04-06,15
2015-04-13,15
2015-04-20,15
2015-04-27,14
2015-05-11,14
