fighter,pearson
Adrian Yanez,nan
Trevin Giles,-0.07056585938477342
Tai Tuivasa,-0.12980280825882817
Cheyanne Buys,nan
Marion Reneau,nan
Leonardo Santos,0.32984184124096483
Song Kenan,-0.02159201088647325
Derek Brunson,-0.02585659749424532
Montel Jackson,-0.09761396594077593
Bruno Silva,0.14380398310113984
Manel Kape,nan
Misha Cirkunov,-0.042224222698915084
Leon Edwards,-0.23276488524131075
Charles Jourdain,-0.06066265952887636
Eryk Anders,0.2177580401646623
Angela Hill,nan
Jonathan Martinez,0.24509264390144148
Dan Ige,-0.09394664088799663
Nasrat Haqparast,-0.1524802549352217
Cortney Casey,nan
Matthew Semelsberger,nan
Rani Yahya,0.11524241735389378
Gloria de Paula,nan
Dominick Cruz,0.014619852504780729
Song Yadong,-0.07080844651665624
Petr Yan,-0.13558135392949414
Jan Blachowicz,-0.1367560553672949
Thiago Santos,-0.026802239478540796
Joseph Benavidez,0.1386523314598186
Amanda Nunes,nan
Islam Makhachev,-0.1189735961202788
Tim Elliott,0.1213044101622849
Livinha Souza,nan
Rogerio Bontorin,-0.08661424298026041
Uros Medic,nan
Kennedy Nzechukwu,-0.09975466706114741
Sean Brady,-0.04732944185939046
Mario Bautista,0.34531086777756426
Jairzinho Rozenstruik,-0.09291632811774031
Montana De La Rosa,nan
Alexander Hernandez,0.06216249134934835
Pedro Munhoz,-0.04179284237257519
Alex Caceres,0.16085011491852796
Alexis Davis,nan
Nikita Krylov,-0.06316666646779368
Dustin Jacoby,-0.014586968944307836
Aleksei Oleinik,-0.06532000204946868
Charles Rosa,-0.1955959499893728
Phil Hawes,nan
Curtis Blaydes,-0.14434532704218875
Eddie Wineland,0.2176275947441926
Andrei Arlovski,-0.24864352956452446
Jared Gordon,-0.031648775014486846
Ketlen Vieira,nan
Aiemann Zahabi,0.023065174655281052
Serghei Spivac,-0.07989723853064065
Nate Landwehr,-0.0866447220397863
Shana Dobson,nan
Maycee Barber,nan
Belal Muhammad,-0.14618026946268717
Maki Pitolo,-0.06876755791075977
Kamaru Usman,-0.22477242223225058
Ricky Simon,-0.10165834144311553
Kelvin Gastelum,0.18018792444549137
Polyana Viana,nan
Rodolfo Vieira,0.03133773347078139
Gabe Green,0.004053470201942829
Andre Ewell,-0.0123803208042395
Alexandre Pantoja,-0.07388642360376659
Karol Rosa,nan
Devonte Smith,-0.06909719124865589
Michael Johnson,0.09166364478730038
Alistair Overeem,0.49753183485391156
Cory Sandhagen,-0.13538496270897424
Mike Rodriguez,0.11294800812150671
Ode Osbourne,-0.04702648957636314
SeungWoo Choi,-0.12677482661447395
Molly McCann,nan
Timur Valiev,-0.035207747416544234
Dan Hooker,-0.1921429526541547
Andrew Sanchez,0.17362485026924718
Julianna Pena,nan
Jessica Eye,nan
Dustin Poirier,-0.29877005730742845
Brad Tavares,-0.17617743732805324
Arman Tsarukyan,-0.09493164044910722
Amir Albazi,-0.03501742508177948
Nik Lentz,0.21646210429319648
Omari Akhmedov,-0.014570939896215176
Warlley Alves,0.16021082974690387
Matt Schnell,-0.038668776227349426
Roxanne Modafferi,nan
Ike Villanueva,-0.06735677478988711
Michael Chiesa,0.03371973623897085
Lerone Murphy,-0.09081088419319795
Su Mudaerji,-0.11683943779057054
Francisco Figueiredo,nan
Umar Nurmagomedov,nan
Victoria Leonardo,nan
Wu Yanan,nan
Punahele Soriano,-0.04401150704524712
Carlos Felipe,-0.15505338001539404
Carlos Condit,0.11763905777689586
David Zawada,-0.03274901782680815
Joaquin Buckley,-0.05861004729367219
Santiago Ponzinibbio,0.008770571304409249
Jacob Kilburn,0.01347031910996506
Marlon Moraes,0.03647941332917852
Sijara Eubanks,nan
Deron Winn,-0.05884992875275444
Stephen Thompson,0.2657404950551082
Jose Aldo,0.3562678109033822
Anthony Pettis,0.30113700216718786
Marcin Tybura,0.17554318958663012
Michel Pereira,-0.10559494937321588
Gillian Robertson,nan
Tafon Nchukwi,nan
Christos Giagos,-0.20760846047949322
Renato Moicano,-0.0038120906872648333
Mackenzie Dern,nan
Tony Ferguson,-0.2603686880066505
Deiveson Figueiredo,-0.17194887042874196
Junior Dos Santos,-0.12894356964922235
Gavin Tucker,0.12348228017345103
Cub Swanson,0.26865634608822625
Tecia Torres,nan
Chase Hooper,-0.0807842788031509
Gabriel Benitez,0.21957881567878745
Roman Dolidze,-0.041912398398234935
Ilia Topuria,-0.025017320946389032
Louis Smolka,0.29678814507601614
Gian Villante,0.2932908992950649
Ovince Saint Preux,0.3780293362506898
Matt Wiman,0.19570064765523204
Miguel Baeza,-0.03384677920272267
Josh Parisian,nan
Anthony Smith,-0.4155109855350508
Martin Day,-0.10785830402007954
Luke Sanders,0.26874206819110835
Gina Mazany,nan
Brandon Moreno,-0.113917603683174
Katlyn Chookagian,nan
Antonina Shevchenko,nan
Valentina Shevchenko,nan
Mauricio Rua,0.5485185322510657
Mike Perry,0.35389404278540104
Alan Jouban,0.20686123978653415
Daniel Rodriguez,-0.269054347897314
Louis Cosce,nan
Kyle Daukaus,-0.05538900816702978
Ashley Yoder,nan
Kay Hansen,nan
Randa Markos,nan
Brendan Allen,-0.06771342247785747
Geraldo de Freitas,0.10147963572860591
Alex Morono,-0.07396423964921987
Abdul Razak Alhassan,-0.14411401287044756
Paul Felder,-0.06564335102824612
Don'Tale Mayes,-0.06568049676734299
Alexandr Romanov,-0.061578690670288434
Claudia Gadelha,nan
Darren Elkins,-0.22322854793772715
Giga Chikadze,-0.07263545513195738
Raoni Barcelos,-0.09292344724915301
Gustavo Lopez,-0.13067699902616506
Max Griffin,0.09657448591042596
Chris Gruetzemacher,0.12509686630015143
Maurice Greene,-0.17476163769651876
Sean Strickland,-0.14632555569207986
Bobby Green,-0.08541606291433043
Uriah Hall,0.38171396570583827
Bryce Mitchell,-0.0635254590841286
Cole Williams,-0.062492511547445444
Miles Johns,0.16149682446769953
Jacob Malkoun,nan
Alexander Volkov,0.07977074843556167
Magomed Ankalaev,-0.11672554961475687
Stefan Struve,0.015320534553798336
Robert Whittaker,-0.1956646055701971
Lauren Murphy,nan
Khabib Nurmagomedov,-0.10908421823312762
Nathaniel Wood,0.0814820857181375
Joel Alvarez,-0.06883453612777793
Liana Jojua,nan
Da-Un Jung,-0.0663861796186754
Alex Oliveira,0.10257880784570124
Thomas Almeida,0.01691252631218801
Jimmy Crute,-0.1278140284930972
Mateusz Gamrot,nan
Junyong Park,-0.07069995321560815
Claudio Silva,-0.054858752936969284
Brian Ortega,-0.2024772341131133
Gadzhimurad Antigulov,0.12906891665741368
Said Nurmagomedov,-0.11486341368978764
Jamie Mullarkey,-0.06247899940060246
Tom Breese,-0.07815069612216857
Chris Daukaus,-0.058927363047453225
Markus Perez,-0.10010391813647965
Ben Rothwell,0.0359206446499343
Youssef Zalal,-0.08093396714888323
Tom Aspinall,-0.044849697607654386
Edson Barboza,0.24206369274319742
Impa Kasanganay,-0.0551948936969418
Ali AlQaisi,-0.05318501750369743
Tracy Cortez,nan
Dequan Townsend,-0.06926135667859162
Germaine de Randamie,nan
Kyler Phillips,-0.05907688553906467
Holly Holm,nan
Yorgan De Castro,-0.0905475721409267
Jordan Williams,nan
Loma Lookboonmee,nan
Casey Kenney,-0.08166654808464932
Luigi Vendramini,nan
Israel Adesanya,-0.1701440180493851
Kai Kara-France,-0.11826203097097948
Shane Young,0.1365487424151314
Diego Sanchez,0.012955279470463101
Brad Riddell,-0.09071895389960868
Dominick Reyes,-0.12309071996823626
Hakeem Dawodu,-0.12074589460639597
William Knight,nan
Khadis Ibragimov,-0.10868796273177528
Juan Espino,-0.02393539969825953
Johnny Walker,-0.05467074815951921
Mirsad Bektic,0.30262291191952295
Colby Covington,-0.25230852441977164
Khamzat Chimaev,-0.0491680038579239
Donald Cerrone,-0.08633649383481568
Jessica-Rose Clark,nan
Darrick Minner,-0.08774385186139147
Journey Newson,-0.10533926264749469
Mayra Bueno Silva,nan
Tyson Nam,-0.08347253621875941
Roosevelt Roberts,-0.05890444081862288
Billy Quarantillo,-0.0747973972887292
Julia Avila,nan
Michelle Waterson,nan
Ed Herman,0.11052122847649752
Ottman Azaitar,0.0034600534015200588
Brok Weaver,-0.060612001460641406
Bryan Barberena,-0.03824285220299575
Sabina Mazo,nan
Brian Kelleher,-0.07564307776687727
Viviane Araujo,nan
Andre Muniz,-0.039738063169296435
Cole Smith,-0.17298954746128903
Alessio Di Chirico,-0.1115168727603503
Ricardo Lamas,0.5594229852921684
Ji Yeon Kim,nan
Mallory Martin,nan
Carlton Minus,-0.040519459595423434
Marcin Prachnio,-0.011699730989813115
Amanda Lemos,nan
Mariya Agapova,nan
Austin Hubbard,-0.0806904078318235
Herbert Burns,-0.06872450481715422
Felice Herrig,nan
Sean O'Malley,-0.055662897962867455
John Dodson,0.39242627365063876
Stipe Miocic,-0.17903011659903806
TJ Brown,0.13778777392215777
Jim Miller,-0.06129724628637026
Kai Kamaka,-0.0739252355640441
Tim Means,0.20698210620833135
Derrick Lewis,-0.04606276866191503
Yana Kunitskaya,nan
Beneil Dariush,-0.1548273497377309
Irwin Rivera,-0.06207274638271991
Joanne Calderwood,nan
Johnny Munoz,nan
Frankie Saenz,0.14110766728420723
Jamall Emmers,-0.07480893670019528
Vicente Luque,-0.11973821114548945
Chris Gutierrez,-0.05947034685875845
Lando Vannata,0.4969050143394871
Francisco Trinaldo,-0.02083448359038624
Carla Esparza,nan
Paul Craig,-0.1550234444606769
Fabricio Werdum,-0.15112276553800155
