fighter,pearson
Adrian Yanez,nan
Trevin Giles,nan
Tai Tuivasa,-0.06077281348897583
Cheyanne Buys,nan
Marion Reneau,nan
Leonardo Santos,0.07327974758170053
Song Kenan,nan
Derek Brunson,-0.08655171379164356
Montel Jackson,nan
Bruno Silva,nan
Manel Kape,nan
Misha Cirkunov,nan
Leon Edwards,-0.026456038054752135
Charles Jourdain,nan
Eryk Anders,nan
Angela Hill,nan
Jonathan Martinez,nan
Dan Ige,nan
Nasrat Haqparast,nan
Cortney Casey,nan
Matthew Semelsberger,nan
Rani Yahya,0.11886993206894783
Gloria de Paula,nan
Dominick Cruz,0.05436109653547049
Song Yadong,-0.08301097593235332
Petr Yan,-0.12266659081536943
Jan Blachowicz,-0.0966110605420564
Thiago Santos,-0.02004180635330887
Joseph Benavidez,0.1295842180080365
Amanda Nunes,nan
Islam Makhachev,-0.0636178591876419
Tim Elliott,-0.0296653029029391
Livinha Souza,nan
Rogerio Bontorin,nan
Uros Medic,nan
Kennedy Nzechukwu,nan
Sean Brady,nan
Mario Bautista,nan
Jairzinho Rozenstruik,-0.07000051517103328
Montana De La Rosa,nan
Alexander Hernandez,nan
Pedro Munhoz,-0.03701024234029661
Alex Caceres,0.23185736321510578
Alexis Davis,nan
Nikita Krylov,-0.17733720497344618
Dustin Jacoby,nan
Aleksei Oleinik,-0.14579627792331842
Charles Rosa,nan
Phil Hawes,nan
Curtis Blaydes,-0.1273830074004675
Eddie Wineland,0.20381731341525244
Andrei Arlovski,-0.25042218052908904
Jared Gordon,nan
Ketlen Vieira,nan
Aiemann Zahabi,nan
Serghei Spivac,nan
Nate Landwehr,nan
Shana Dobson,nan
Maycee Barber,nan
Belal Muhammad,nan
Maki Pitolo,-0.022668793428903523
Kamaru Usman,-0.09049586988927011
Ricky Simon,nan
Kelvin Gastelum,0.0927356553983428
Polyana Viana,nan
Rodolfo Vieira,nan
Gabe Green,nan
Andre Ewell,nan
Alexandre Pantoja,-0.062444158799857534
Karol Rosa,nan
Devonte Smith,nan
Michael Johnson,0.10702404315280292
Alistair Overeem,0.35152984018083877
Cory Sandhagen,-0.054469570408692665
Mike Rodriguez,nan
Ode Osbourne,nan
SeungWoo Choi,nan
Molly McCann,nan
Timur Valiev,nan
Dan Hooker,-0.05856798481913465
Andrew Sanchez,0.027503807381071176
Julianna Pena,nan
Jessica Eye,nan
Dustin Poirier,-0.15751695491789208
Brad Tavares,0.036771862666790514
Arman Tsarukyan,-0.06597371524955353
Amir Albazi,nan
Nik Lentz,-0.09923316926562084
Omari Akhmedov,nan
Warlley Alves,0.2858227920991422
Matt Schnell,nan
Roxanne Modafferi,nan
Ike Villanueva,nan
Michael Chiesa,-0.021175229142115767
Lerone Murphy,nan
Su Mudaerji,nan
Francisco Figueiredo,nan
Umar Nurmagomedov,nan
Victoria Leonardo,nan
Wu Yanan,nan
Punahele Soriano,nan
Carlos Felipe,-0.12708197461973436
Carlos Condit,0.2687415687984664
David Zawada,nan
Joaquin Buckley,-0.042167122132713605
Santiago Ponzinibbio,nan
Jacob Kilburn,nan
Marlon Moraes,-0.08318892829533642
Sijara Eubanks,nan
Deron Winn,-0.08750731151072069
Stephen Thompson,0.4794817658767213
Jose Aldo,0.13060339383884906
Anthony Pettis,0.40351870972551734
Marcin Tybura,0.02971972108622983
Michel Pereira,-0.07776945224914938
Gillian Robertson,nan
Tafon Nchukwi,nan
Christos Giagos,nan
Renato Moicano,-0.09977184084343622
Mackenzie Dern,nan
Tony Ferguson,0.037698066279332115
Deiveson Figueiredo,-0.0967267327252862
Junior Dos Santos,0.15693141135985977
Gavin Tucker,nan
Cub Swanson,0.291430917797565
Tecia Torres,nan
Chase Hooper,nan
Gabriel Benitez,nan
Roman Dolidze,nan
Ilia Topuria,nan
Louis Smolka,0.11191911015158598
Gian Villante,-0.05901738398281067
Ovince Saint Preux,-0.09957693633799763
Matt Wiman,-0.06592855129603825
Miguel Baeza,nan
Josh Parisian,nan
Anthony Smith,-0.24260110844325122
Martin Day,nan
Luke Sanders,nan
Gina Mazany,nan
Brandon Moreno,-0.08803247429246186
Katlyn Chookagian,nan
Antonina Shevchenko,nan
Valentina Shevchenko,nan
Mauricio Rua,0.09921011378038709
Mike Perry,nan
Alan Jouban,-0.08844362980979123
Daniel Rodriguez,nan
Louis Cosce,nan
Kyle Daukaus,nan
Ashley Yoder,nan
Kay Hansen,nan
Randa Markos,nan
Brendan Allen,nan
Geraldo de Freitas,nan
Alex Morono,-0.05791844365029561
Abdul Razak Alhassan,nan
Paul Felder,0.047241069195375546
Don'Tale Mayes,nan
Alexandr Romanov,nan
Claudia Gadelha,nan
Darren Elkins,-0.07350029806091454
Giga Chikadze,nan
Raoni Barcelos,nan
Gustavo Lopez,nan
Max Griffin,0.04039411540398223
Chris Gruetzemacher,nan
Maurice Greene,-0.08103173908353092
Sean Strickland,nan
Bobby Green,-0.04999696014230994
Uriah Hall,0.40922514055451775
Bryce Mitchell,nan
Cole Williams,nan
Miles Johns,nan
Jacob Malkoun,nan
Alexander Volkov,0.10182641855386643
Magomed Ankalaev,nan
Stefan Struve,0.11915321005330186
Robert Whittaker,-0.08026781985034566
Lauren Murphy,nan
Khabib Nurmagomedov,nan
Nathaniel Wood,nan
Joel Alvarez,nan
Liana Jojua,nan
Da-Un Jung,nan
Alex Oliveira,nan
Thomas Almeida,nan
Jimmy Crute,nan
Mateusz Gamrot,nan
Junyong Park,nan
Claudio Silva,0.008135836523570913
Brian Ortega,-0.13247893960853488
Gadzhimurad Antigulov,nan
Said Nurmagomedov,nan
Jamie Mullarkey,nan
Tom Breese,nan
Chris Daukaus,nan
Markus Perez,0.002057474256147717
Ben Rothwell,0.07478257275976949
Youssef Zalal,nan
Tom Aspinall,nan
Edson Barboza,0.3568976296082054
Impa Kasanganay,nan
Ali AlQaisi,nan
Tracy Cortez,nan
Dequan Townsend,nan
Germaine de Randamie,nan
Kyler Phillips,nan
Holly Holm,nan
Yorgan De Castro,-0.039269359460311216
Jordan Williams,nan
Loma Lookboonmee,nan
Casey Kenney,nan
Luigi Vendramini,nan
Israel Adesanya,-0.06516087251734143
Kai Kara-France,-0.1105547745403975
Shane Young,nan
Diego Sanchez,0.5074371511152485
Brad Riddell,nan
Dominick Reyes,nan
Hakeem Dawodu,nan
William Knight,nan
Khadis Ibragimov,nan
Juan Espino,nan
Johnny Walker,nan
Mirsad Bektic,0.2905747787477457
Colby Covington,-0.07655703767772137
Khamzat Chimaev,nan
Donald Cerrone,-0.08368809126572378
Jessica-Rose Clark,nan
Darrick Minner,nan
Journey Newson,nan
Mayra Bueno Silva,nan
Tyson Nam,nan
Roosevelt Roberts,-0.038059537235238874
Billy Quarantillo,nan
Julia Avila,nan
Michelle Waterson,nan
Ed Herman,-0.03702412774491584
Ottman Azaitar,nan
Brok Weaver,nan
Bryan Barberena,-0.033608113243040416
Sabina Mazo,nan
Brian Kelleher,-0.10237622285827101
Viviane Araujo,nan
Andre Muniz,nan
Cole Smith,nan
Alessio Di Chirico,0.03678418883990158
Ricardo Lamas,0.5104507549937708
Ji Yeon Kim,nan
Mallory Martin,nan
Carlton Minus,nan
Marcin Prachnio,nan
Amanda Lemos,nan
Mariya Agapova,nan
Austin Hubbard,nan
Herbert Burns,nan
Felice Herrig,nan
Sean O'Malley,nan
John Dodson,0.3965001076361623
Stipe Miocic,-0.1001557664880463
TJ Brown,nan
Jim Miller,-0.08544333413209891
Kai Kamaka,nan
Tim Means,0.10492935297212215
Derrick Lewis,-0.10764831001497915
Yana Kunitskaya,nan
Beneil Dariush,-0.15901681809572904
Irwin Rivera,nan
Joanne Calderwood,nan
Johnny Munoz,nan
Frankie Saenz,nan
Jamall Emmers,nan
Vicente Luque,-0.04984887270277877
Chris Gutierrez,nan
Lando Vannata,0.17778693196654782
Francisco Trinaldo,0.07222279856394559
Carla Esparza,nan
Paul Craig,-0.035294277439917726
Fabricio Werdum,0.3407674466602485
Nicolas Dalby,nan
Tanner Boser,-0.08938210991408045
Movsar Evloev,nan
Ramazan Emeev,nan
Bethe Correia,nan
Marc Diakiese,nan
Grant Dawson,nan
Malcolm Gordon,nan
Brett Johns,0.18332707143071766
Davi Ramos,0.1707378370988053
Modestas Bukauskas,nan
Ricardo Ramos,nan
Calvin Kattar,-0.03840346226735518
Diana Belbita,nan
Jack Shore,nan
Jessica Andrade,nan
Makwan Amirkhani,nan
Volkan Oezdemir,-0.10713096850813454
Elizeu Zaleski dos Santos,-0.06067286111797955
Alexander Volkanovski,nan
Amanda Ribas,nan
Luis Pena,nan
Sean Woodson,nan
Takashi Sato,nan
Jordan Griffin,nan
Marc-Andre Barriault,nan
Josh Emmett,-0.026166178258136812
Raquel Pennington,nan
Andre Fili,0.28743557100786166
Merab Dvalishvili,nan
Anthony Ivy,nan
Cody Stamann,-0.09105509112900412
Aljamain Sterling,-0.04052352898905172
Neil Magny,0.03468703992631069
Charles Byrd,0.07185623232024085
Evan Dunham,0.5785870666906402
Jussier Formiga,0.19267042471348672
Jamahal Hill,nan
Tyron Woodley,-0.016030543772821124
Anthony Hernandez,nan
Matt Brown,-0.135921080821258
Rodrigo Nascimento,nan
Hunter Azure,nan
Chase Sherman,0.07000970393915165
Jeremy Stephens,0.16244340387618106
Francis Ngannou,-0.009281648266041224
Henry Cejudo,-0.105230448903184
Greg Hardy,nan
Ryan Spann,-0.06424037517871406
Demian Maia,-0.13337670387172074
Mark Madsen,nan
Batgerel Danaa,nan
Gerald Meerschaert,-0.12372414258654639
Ion Cutelaba,-0.13981007796436487
Felicia Spencer,nan
Gabriel Silva,nan
Megan Anderson,nan
Aalon Cruz,nan
Jalin Turner,nan
Karolina Kowalkiewicz,nan
Ben Sosoli,nan
Kevin Aguilar,nan
Jake Matthews,nan
Callan Potter,nan
Priscila Cachoeira,nan
Corey Anderson,0.2543601181482333
Devin Clark,nan
Mark De La Rosa,0.24372547561910177
Macy Chiasson,nan
Juan Adams,nan
