fighter,pearson
Adrian Yanez,-0.05877669485058934
Trevin Giles,-0.1617847427907222
Tai Tuivasa,-0.14546685851849633
Cheyanne Buys,nan
Marion Reneau,nan
Leonardo Santos,0.2816136922997631
Song Kenan,-0.0026616568239931607
Derek Brunson,-0.013672440212394416
Montel Jackson,-0.13803976230546167
Bruno Silva,0.15981775030372664
Manel Kape,0.0027715656653155857
Misha Cirkunov,0.2683664304266651
Leon Edwards,-0.2744217736225808
Charles Jourdain,-0.10939542302359731
Eryk Anders,0.10381501721526974
Angela Hill,nan
Jonathan Martinez,0.3163200876625224
Dan Ige,-0.1666195689595791
Nasrat Haqparast,-0.15914635145334574
Cortney Casey,nan
Matthew Semelsberger,-0.07172031055677405
Rani Yahya,0.43206573003819454
Gloria de Paula,nan
Dominick Cruz,-0.023066527459718395
Song Yadong,-0.13147371506445596
Petr Yan,-0.17758767794616107
Jan Blachowicz,-0.2614223491164259
Thiago Santos,-0.0434282907430403
Joseph Benavidez,0.22725180874235282
Amanda Nunes,nan
Islam Makhachev,-0.23601773050796077
Tim Elliott,0.09442536009049943
Livinha Souza,nan
Rogerio Bontorin,-0.13285670218334283
Uros Medic,-0.026814434645651503
Kennedy Nzechukwu,-0.14185971033958683
Sean Brady,-0.07043223252467021
Mario Bautista,0.5280700666303098
Jairzinho Rozenstruik,-0.14970756892832238
Montana De La Rosa,nan
Alexander Hernandez,0.05835018064365323
Pedro Munhoz,-0.12326977783152414
Alex Caceres,0.2661816483970979
Alexis Davis,nan
Nikita Krylov,-0.02824326269684148
Dustin Jacoby,-0.00633244035560464
Aleksei Oleinik,-0.2439576611514096
Charles Rosa,-0.3803824174456555
Phil Hawes,-0.0583828461225127
Curtis Blaydes,-0.16395706108237082
Eddie Wineland,0.3477090311250024
Andrei Arlovski,-0.4176725332905909
Jared Gordon,-0.0512828171400021
Ketlen Vieira,nan
Aiemann Zahabi,0.03179640060763015
Serghei Spivac,-0.09817533179678792
Nate Landwehr,-0.11034015066917689
Shana Dobson,nan
Maycee Barber,nan
Belal Muhammad,-0.18750890296139955
Maki Pitolo,-0.0921523691686152
Kamaru Usman,-0.2889313873748689
Ricky Simon,-0.13609308569043654
Kelvin Gastelum,-0.0007480956642289035
Polyana Viana,nan
Rodolfo Vieira,0.052882927521814005
Gabe Green,0.025262136833350025
Andre Ewell,-0.08199855753769682
Alexandre Pantoja,-0.10932112197296279
Karol Rosa,nan
Devonte Smith,-0.09654933570807794
Michael Johnson,0.24747376446687874
Alistair Overeem,0.6424066579862464
Cory Sandhagen,-0.18147782786602673
Mike Rodriguez,0.1426979239963903
Ode Osbourne,-0.12956423447295348
SeungWoo Choi,-0.1783674288057912
Molly McCann,nan
Timur Valiev,-0.07173680649951189
Dan Hooker,-0.3000245466764183
Andrew Sanchez,0.3481989289952772
Julianna Pena,nan
Jessica Eye,nan
Dustin Poirier,-0.4308062214492186
Brad Tavares,0.15348784740686056
Arman Tsarukyan,-0.11215867980774659
Amir Albazi,-0.06873781707739718
Nik Lentz,0.05167904528357937
Omari Akhmedov,0.03062807649590532
Warlley Alves,0.44807807616315676
Matt Schnell,-0.01818229715127389
Roxanne Modafferi,nan
Ike Villanueva,-0.09152627543419775
Michael Chiesa,-0.03872894406773364
Lerone Murphy,-0.134542004061511
Su Mudaerji,-0.15124480613922237
Francisco Figueiredo,0.005673344208250443
Umar Nurmagomedov,-0.040831400091684705
Victoria Leonardo,nan
Wu Yanan,nan
Punahele Soriano,-0.12183615048618215
Carlos Felipe,-0.2346051163499447
Carlos Condit,0.25495099890327644
David Zawada,-0.03257161652851511
Joaquin Buckley,-0.07726680406639333
Santiago Ponzinibbio,-0.03352159807435716
Jacob Kilburn,-0.031002713695947832
Marlon Moraes,-0.014266680192991306
Sijara Eubanks,nan
Deron Winn,-0.0891614153297569
Stephen Thompson,0.04603282720143818
Jose Aldo,0.48323483196236944
Anthony Pettis,0.5829882782628761
Marcin Tybura,0.19175627173502546
Michel Pereira,-0.13169280143896517
Gillian Robertson,nan
Tafon Nchukwi,-0.04972675549491312
Christos Giagos,-0.26113687461190477
Renato Moicano,-0.1645313667290295
Mackenzie Dern,nan
Tony Ferguson,-0.3861733988596472
Deiveson Figueiredo,-0.20853312073253866
Junior Dos Santos,0.030149639637734933
Gavin Tucker,0.14605680405253207
Cub Swanson,0.42797211083190245
Tecia Torres,nan
Chase Hooper,-0.10710954424022973
Gabriel Benitez,0.3779007541163942
Roman Dolidze,-0.06285737526619153
Ilia Topuria,-0.041127940408711795
Louis Smolka,0.2149455391978985
Gian Villante,0.4542371658214984
Ovince Saint Preux,0.27206980711543927
Matt Wiman,0.09831153391767067
Miguel Baeza,-0.05178587725677275
Josh Parisian,-0.019133347377480535
Anthony Smith,-0.49028657269058873
Martin Day,-0.17918285013635676
Luke Sanders,0.6339425565599505
Gina Mazany,nan
Brandon Moreno,-0.18263046162307617
Katlyn Chookagian,nan
Antonina Shevchenko,nan
Valentina Shevchenko,nan
Mauricio Rua,0.6353539782454747
Mike Perry,0.24252371516132762
Alan Jouban,0.3544740005278997
Daniel Rodriguez,-0.3114388022115643
Louis Cosce,-0.06918414715464931
Kyle Daukaus,-0.07924253116284079
Ashley Yoder,nan
Kay Hansen,nan
Randa Markos,nan
Brendan Allen,-0.0723312487948303
Geraldo de Freitas,0.14278515020773205
Alex Morono,-0.14937079175583773
Abdul Razak Alhassan,-0.15590396556489028
Paul Felder,-0.11272837127200584
Don'Tale Mayes,-0.10200887943591386
Alexandr Romanov,-0.07166969645836369
Claudia Gadelha,nan
Darren Elkins,-0.13968120245690935
Giga Chikadze,-0.10144190002357434
Raoni Barcelos,-0.13301860139842805
Gustavo Lopez,-0.16692042084258024
Max Griffin,0.16836327500861142
Chris Gruetzemacher,0.1433642451041586
Maurice Greene,-0.20883819497029016
Sean Strickland,-0.18636147234570588
Bobby Green,-0.12547104331134712
Uriah Hall,0.6241326316655226
Bryce Mitchell,-0.1160112299159182
Cole Williams,-0.07722551856617643
Miles Johns,0.18046726522440426
Jacob Malkoun,-0.06597730226841528
Alexander Volkov,0.03184257293105223
Magomed Ankalaev,-0.16423064104596694
Stefan Struve,0.05294871932989095
Robert Whittaker,-0.3272330553124383
Lauren Murphy,nan
Khabib Nurmagomedov,-0.31744907571363146
Nathaniel Wood,0.09352181612110921
Joel Alvarez,-0.0874254691318109
Liana Jojua,nan
Da-Un Jung,-0.10096888654676672
Alex Oliveira,0.11563088598659028
Thomas Almeida,0.307122276791748
Jimmy Crute,-0.16054486142807123
Mateusz Gamrot,-0.016373923786302404
Junyong Park,-0.12354371016563959
Claudio Silva,0.1556903963958568
Brian Ortega,-0.23693724438015495
Gadzhimurad Antigulov,0.14041211066298764
Said Nurmagomedov,-0.1423895485494453
Jamie Mullarkey,-0.11475602215041797
Tom Breese,0.063991161228516
Chris Daukaus,-0.06758946849307201
Markus Perez,-0.09489771496924325
Ben Rothwell,0.32189321564945295
Youssef Zalal,-0.10049866530358478
Tom Aspinall,-0.0638226864353674
Edson Barboza,0.11170740107412042
Impa Kasanganay,-0.07740554082294485
Ali AlQaisi,-0.06231055381557447
Tracy Cortez,nan
Dequan Townsend,-0.1058972691053693
Germaine de Randamie,nan
Kyler Phillips,-0.0857578717745687
Holly Holm,nan
Yorgan De Castro,-0.11121173715842601
Jordan Williams,0.004866742949994119
Loma Lookboonmee,nan
Casey Kenney,-0.10931706372997042
Luigi Vendramini,-0.18475484595144426
Israel Adesanya,-0.1999676577953936
Kai Kara-France,-0.1383697231506968
Shane Young,0.2546968412434657
Diego Sanchez,-0.12393053979339907
Brad Riddell,-0.12586830671371368
Dominick Reyes,-0.19044115064199615
Hakeem Dawodu,-0.1271856130983028
William Knight,0.13113531864313951
Khadis Ibragimov,-0.13076964318125947
Juan Espino,-0.09323094384853436
Johnny Walker,-0.0974835499318093
Mirsad Bektic,0.4622058004874494
Colby Covington,-0.3259093426889351
Khamzat Chimaev,-0.0769163995028209
Donald Cerrone,-0.030500561265323065
Jessica-Rose Clark,nan
Darrick Minner,-0.1330917927461185
Journey Newson,-0.14420939870666066
Mayra Bueno Silva,nan
Tyson Nam,-0.09981114099234924
Roosevelt Roberts,-0.08140370415374153
Billy Quarantillo,-0.11509053903679632
Julia Avila,nan
Michelle Waterson,nan
Ed Herman,0.2271451189705166
Ottman Azaitar,0.014000766638531347
Brok Weaver,-0.09135243717551723
Bryan Barberena,0.07774731786128633
Sabina Mazo,nan
Brian Kelleher,-0.03981538541325279
Viviane Araujo,nan
Andre Muniz,-0.059726537133638506
Cole Smith,-0.2193351306146855
Alessio Di Chirico,-0.0025338765113314373
Ricardo Lamas,0.633889028999843
Ji Yeon Kim,nan
Mallory Martin,nan
Carlton Minus,-0.058801095219591995
Marcin Prachnio,-0.03692833246064608
Amanda Lemos,nan
Mariya Agapova,nan
Austin Hubbard,-0.08874397599913394
Herbert Burns,-0.07846532960380119
Felice Herrig,nan
Sean O'Malley,-0.16477880458990635
John Dodson,0.687119132112405
Stipe Miocic,-0.31485929384652844
TJ Brown,0.1820579470340546
Jim Miller,0.08282575541424872
Kai Kamaka,-0.09361408452213309
Tim Means,0.35717606492598714
Derrick Lewis,-0.21936632606312012
Yana Kunitskaya,nan
Beneil Dariush,-0.2438006724581521
Irwin Rivera,-0.07629583001822575
Joanne Calderwood,nan
Johnny Munoz,0.12651451849568257
Frankie Saenz,0.568189516110576
Jamall Emmers,-0.0982477040485411
Vicente Luque,-0.23918869021422268
Chris Gutierrez,-0.07814361621752927
Lando Vannata,0.4293673313492421
Francisco Trinaldo,-0.07233223449946773
Carla Esparza,nan
Paul Craig,-0.20753598979719967
Fabricio Werdum,0.31304596351052844
Nicolas Dalby,-0.09319146665934058
Tanner Boser,-0.12057048885376855
Movsar Evloev,-0.1256844367862252
Ramazan Emeev,-0.12115475269224782
Bethe Correia,nan
Marc Diakiese,0.25164265163857746
Grant Dawson,-0.04370118175596509
Malcolm Gordon,0.027550210101973446
Brett Johns,0.29367322118034234
Davi Ramos,0.29177996439846765
Modestas Bukauskas,-0.10637117239134322
Ricardo Ramos,-0.062213983073929835
Calvin Kattar,-0.17155374095096196
Diana Belbita,nan
Jack Shore,-0.13902048923666627
Jessica Andrade,nan
Makwan Amirkhani,0.3988847693308198
Volkan Oezdemir,0.3028652051439814
Elizeu Zaleski dos Santos,-0.2159368427507749
Alexander Volkanovski,-0.20891627858206774
Amanda Ribas,nan
Luis Pena,-0.1483093676863132
Sean Woodson,-0.12420849407457435
Takashi Sato,-0.17213188123108827
Jordan Griffin,0.1827594328337358
Marc-Andre Barriault,-0.1342925230012544
Josh Emmett,-0.11693077923951559
Raquel Pennington,nan
Andre Fili,0.21356450558180737
Merab Dvalishvili,-0.1411753299756806
Anthony Ivy,0.07120058854556488
Cody Stamann,-0.1288710982148739
Aljamain Sterling,-0.1832622600908294
Neil Magny,-0.09340074614589526
Charles Byrd,0.12602983941457555
Evan Dunham,0.3954755636018619
Jussier Formiga,0.12333936637596794
Jamahal Hill,-0.08144761129331832
Tyron Woodley,-0.24567715222618214
Anthony Hernandez,0.2768532888763415
Matt Brown,-0.1839436833070734
Rodrigo Nascimento,0.023926283573427916
Hunter Azure,0.2787904320326987
Chase Sherman,0.2570212765001755
Jeremy Stephens,-0.5310058468936097
Francis Ngannou,-0.20205559614935442
Henry Cejudo,-0.2602228849321064
Greg Hardy,0.11348750419690101
Ryan Spann,-0.14951977314997744
Demian Maia,0.18039107296688164
Mark Madsen,-0.3639435573885891
Batgerel Danaa,-0.12645408401042807
Gerald Meerschaert,-0.19548487403623468
Ion Cutelaba,-0.10977076223266205
Felicia Spencer,nan
Gabriel Silva,0.07113011276185338
Megan Anderson,nan
Aalon Cruz,-0.11677821241361602
Jalin Turner,-0.11467084243546968
Karolina Kowalkiewicz,nan
Ben Sosoli,-0.09424760501663469
Kevin Aguilar,0.07546077313456404
Jake Matthews,0.7320965760501053
Callan Potter,0.7718877907175155
Priscila Cachoeira,nan
Corey Anderson,0.3566754049225081
Devin Clark,0.13438614994905218
Mark De La Rosa,0.3085539442543018
Macy Chiasson,nan
Juan Adams,-0.2615845649381283
Jon Jones,-0.42480631516645895
Domingo Pilarte,-0.04515652103343515
Austin Lingo,-0.09186269398371186
Justine Kish,nan
Bevon Lewis,-0.007249852657471365
Arnold Allen,-0.24827261619971808
Sara McMann,nan
Hannah Cifers,nan
Conor McGregor,-0.12273765105276371
Drew Dober,-0.2571133908720532
Aleksa Camur,-0.11025728041221747
Dooho Choi,0.03603317937885142
Frankie Edgar,-0.22844586905286113
Dong Hyun Ma,-0.2610585398105839
Heili Alateng,-0.06347039603173985
Geoff Neal,-0.16929089526924782
Aspen Ladd,nan
Thiago Alves,-0.2947258714067863
Joe Solecki,-0.12437280288252861
Virna Jandiroba,nan
Sergio Moraes,0.44206577429222715
Charles Oliveira,-0.37338254598628484
Antonio Arroyo,-0.024637414879764216
Vanessa Melo,nan
Zelim Imadaev,-0.1448918213231951
Rustam Khabilov,0.6700196909568815
Zabit Magomedsharipov,-0.15967369380587992
Abubakar Nurmagomedov,-0.06168482277543717
Alexander Yakovlev,0.03654899862733711
Grigory Popov,0.010542871935880882
Lyman Good,0.21881970779947324
Enrique Barzola,0.6780736501673501
Joe Lauzon,0.2229946163053529
Randy Costa,-0.15546467741956402
Kyle Bochniak,-0.04876713259780521
Matt Frevola,-0.14721794463301435
Niko Price,-0.042150934092027775
Marlon Vera,-0.2406740994554111
Marvin Vettori,-0.1702945369675523
JJ Aldrich,nan
Al Iaquinta,-0.07495539777410541
Khalid Taha,-0.1359846401764337
Nadia Kassem,nan
Michal Oleksiejczuk,-0.11424528465464312
Gunnar Nelson,0.5969422770951975
Brandon Davis,-0.3132336228037411
Jose Quinonez,-0.03603633638962318
Ariane Carnelossi,nan
Marco Polo Reyes,0.48104102335484145
Irene Aldana,nan
Vinicius Moreira,0.14025238391126252
Claudio Puelles,-0.03720143996748457
Sergio Pettis,0.5917354114343867
Glover Teixeira,0.26513451984733105
Todd Duffee,0.13401723979607003
Kyle Prepolec,-0.1419324755753839
Chas Skelly,0.2825815259148996
Don Madge,0.003875222145784402
Nordine Taleb,0.6204902238454468
Li Jingliang,-0.24975034299253093
Damir Ismagulov,-0.12915451771415354
Yoel Romero,-0.141782354171949
Daniel Cormier,0.3299576634327176
Manny Bermudez,0.0343461509616391
Eduardo Garagorri,-0.09629111505845353
Kazula Vargas,-0.12230554582481779
Joaquim Silva,0.01672723894987372
Scott Holtzman,0.02889694111642361
Darko Stosic,0.16111317683151002
Mickey Gall,0.6004395886368298
Cristiane Justino,0.531536629907265
Olivier Aubin-Mercier,0.3666749050098437
Erik Koch,0.5295449102263502
Sam Alvey,0.3574123633995506
Ray Borg,0.24796999087488483
Urijah Faber,0.8509307886867439
Pingyuan Liu,-0.042508998843828714
Benito Lopez,-0.20992670250625672
Gilbert Melendez,0.9031273748212301
Edmen Shahbazyan,-0.1568409200238548
Alejandro Perez,-0.031599705818522845
Emily Whitmire,nan
Andrea Lee,nan
Allen Crowder,0.10351240788602853
Tatiana Suarez,nan
Yan Xiaonan,nan
Stevie Ray,-0.3032802709918992
Tonya Evinger,nan
Damir Hadzovic,0.22192644209124907
Alexander Gustafsson,-0.081680315719314
Daniel Teymur,0.20003592313663626
Jimi Manuwa,0.5584758439515403
Nick Hein,0.47513727465043126
Bea Malecki,nan
Desmond Green,0.13143701300917932
Antonio Carlos Junior,0.3230674396230464
Zak Cummings,0.6831936108287604
Michael Trizano,-0.1359364545809229
Danny Roberts,-0.23655828618755587
Patrick Cummins,0.7237521048837725
Jared Cannonier,-0.26638534462741636
Rogerio Nogueira,0.5658691387226038
Thiago Moises,-0.11893145448950196
Rose Namajunas,nan
BJ Penn,0.23493358309461815
Luana Carolina,nan
Talita Bernardo,nan
Walt Harris,-0.3149182859321102
Kyle Nelson,0.15264391780583692
Arjan Bhullar,-0.019515767909357377
Mitch Gagnon,0.29776161080631286
Ben Saunders,-0.2395854583986801
Krzysztof Jotko,0.387810065347703
Sergei Pavlovich,-0.10470120306237024
Sultan Aliev,0.5580744578271946
Magomed Mustafaev,-0.22815027792282844
Curtis Millender,0.049764878397697276
Wilson Reis,0.5090688652973547
Boston Salmon,0.2275093685739754
Lauren Mueller,nan
Ross Pearson,0.6017265637119803
Sodiq Yusuff,-0.1744023489630415
Alex Perez,-0.10109014717480383
John Makdessi,0.4613671166393326
Eric Shelton,0.3450394693235988
Ryan MacDonald,-0.026634594275991873
Jack Marshman,0.3425607036957407
Darren Till,-0.15219123556978986
Danny Henry,0.27401093349312866
Nicolae Negumereanu,-0.14757232319816915
Mike Grundy,-0.041131003090470186
Tim Boetsch,0.37258151651264093
Anthony Rocco Martin,-0.26671896928672445
Cody Garbrandt,0.04604542344727517
Dwight Grant,-0.04526353225375439
Liz Carmouche,nan
Michel Prazeres,0.040322514260324245
Aleksandra Albu,nan
Renan Barao,0.4285077081277032
Wuliji Buren,0.11509668297484335
Teruto Ishihara,0.42706025251274093
Mara Romero Borella,nan
Junior Albini,0.2451394761030892
Bibulatov Magomed,0.40107926597301036
Gregor Gillespie,-0.15282438920399738
Paige VanZant,nan
Dennis Bermudez,0.6018975782607431
Kyle Stewart,0.09709367284967013
Chad Mendes,-0.0019160521143225615
Cat Zingano,nan
Ilir Latifi,0.4321326713726781
Zak Ottow,0.21052300200695012
Trevor Smith,-0.13496822814360182
Adam Milstead,0.5396300050879839
Chris de la Rocha,0.33255072011056863
Elias Theodorou,0.11668575461863714
Chad Laprise,0.7656225730529194
Mark Hunt,0.4522163747580811
Suman Mokhtarian,0.10509962096801898
Yushin Okami,-0.028713242050558356
Alex Gorgees,-0.09849470048448594
Keita Nakamura,0.06730220891170621
Elias Garcia,0.1840063114897172
Mizuto Hirota,0.2529913009631806
Darren Stewart,0.08067686810415942
Rick Glenn,0.77216270771944
Pannie Kianzad,nan
Julija Stoliarenko,nan
Hu Yaozong,-0.1780165527210708
Guido Cannetti,-0.01758917324255864
Cynthia Calvillo,nan
Cezar Ferreira,0.7492185470748189
Devin Powell,0.1068087225545253
Humberto Bandenay,0.3390939987210975
Nad Narimani,0.2231098694303765
Laureano Staropoli,-0.1589954125888387
Chan Sung Jung,0.09744580419578464
Joseph Morales,0.240298241065773
Jason Knight,0.5587291407832023
Chris Weidman,0.26907297190829993
Adam Wieczorek,0.2994227578745944
Alex Garcia,0.4903922713847556
