fighter,pearson
Adrian Yanez,nan
Trevin Giles,-0.06139194070218743
Tai Tuivasa,-0.06718377490302087
Cheyanne Buys,nan
Marion Reneau,nan
Leonardo Santos,0.26713080901092223
Song Kenan,-0.023378075550506586
Derek Brunson,0.010429645879378863
Montel Jackson,-0.024005767534345895
Bruno Silva,0.049490256073964366
Manel Kape,0.0026084718978508993
Misha Cirkunov,0.3025839665820486
Leon Edwards,-0.09651733563351375
Charles Jourdain,-0.07777649914725414
Eryk Anders,-0.047050197970828135
Angela Hill,nan
Jonathan Martinez,0.14840532639303222
Dan Ige,-0.032476201407476035
Nasrat Haqparast,-0.08232943267257362
Cortney Casey,nan
Matthew Semelsberger,-0.04427444040016188
Rani Yahya,0.06666573029423283
Gloria de Paula,nan
Dominick Cruz,0.0466886921204843
Song Yadong,-0.03401343800962578
Petr Yan,-0.07242509282617712
Jan Blachowicz,-0.1079054574397818
Thiago Santos,-0.028897323741750615
Joseph Benavidez,0.02463443164139687
Amanda Nunes,nan
Islam Makhachev,-0.11255679225247482
Tim Elliott,0.027808845619889427
Livinha Souza,nan
Rogerio Bontorin,-0.013547574862767545
Uros Medic,-0.026814434645651503
Kennedy Nzechukwu,-0.11853854924831911
Sean Brady,-0.03852234047380221
Mario Bautista,0.27120107465534576
Jairzinho Rozenstruik,-0.10511797918069732
Montana De La Rosa,nan
Alexander Hernandez,0.014750973580343241
Pedro Munhoz,-0.009956962979349896
Alex Caceres,0.1624363535573562
Alexis Davis,nan
Nikita Krylov,0.0730948540469056
Dustin Jacoby,-0.07018607148464326
Aleksei Oleinik,-0.0610048106213459
Charles Rosa,-0.2408089226199604
Phil Hawes,nan
Curtis Blaydes,-0.03348104079087426
Eddie Wineland,0.12384485127417233
Andrei Arlovski,-0.08188918898172509
Jared Gordon,-0.01058543455760614
Ketlen Vieira,nan
Aiemann Zahabi,-0.044364903960726954
Serghei Spivac,-0.07313090916454384
Nate Landwehr,-0.041699310109346334
Shana Dobson,nan
Maycee Barber,nan
Belal Muhammad,-0.09848793604472401
Maki Pitolo,-0.06609752235871649
Kamaru Usman,-0.12232429686601164
Ricky Simon,-0.0003091451735758215
Kelvin Gastelum,0.08060593526313263
Polyana Viana,nan
Rodolfo Vieira,0.06766824464688369
Gabe Green,0.01617678203148118
Andre Ewell,0.007463390753805945
Alexandre Pantoja,-0.015883868441317756
Karol Rosa,nan
Devonte Smith,-0.03538007142953784
Michael Johnson,0.17413030868341384
Alistair Overeem,-0.03310457084671716
Cory Sandhagen,-0.032256600162088214
Mike Rodriguez,0.27348910199042664
Ode Osbourne,-0.03593250728454569
SeungWoo Choi,-0.06356011455932477
Molly McCann,nan
Timur Valiev,-0.026849933128996677
Dan Hooker,-0.07998123282399135
Andrew Sanchez,0.19592273131690804
Julianna Pena,nan
Jessica Eye,nan
Dustin Poirier,-0.2438629592355221
Brad Tavares,-0.036448025065611324
Arman Tsarukyan,-0.050923394603566444
Amir Albazi,-0.02560110427091678
Nik Lentz,-0.09445395823600615
Omari Akhmedov,0.055048018597569554
Warlley Alves,0.20088437223771444
Matt Schnell,-0.01909585223519836
Roxanne Modafferi,nan
Ike Villanueva,-0.05567628009266157
Michael Chiesa,-0.05160823187790439
Lerone Murphy,-0.045788518729297095
Su Mudaerji,-0.02682177594491274
Francisco Figueiredo,0.004041053312546188
Umar Nurmagomedov,nan
Victoria Leonardo,nan
Wu Yanan,nan
Punahele Soriano,-0.04481550167741554
Carlos Felipe,-0.22062108378701886
Carlos Condit,0.008620462114225994
David Zawada,-0.02283856230726339
Joaquin Buckley,-0.06974147028475022
Santiago Ponzinibbio,0.06932583398547361
Jacob Kilburn,0.015818090646098147
Marlon Moraes,-0.023156042517959583
Sijara Eubanks,nan
Deron Winn,-0.10563921286952975
Stephen Thompson,0.05568409026075609
Jose Aldo,0.09298729353457517
Anthony Pettis,0.41723903197837786
Marcin Tybura,0.19288462628924313
Michel Pereira,-0.06630676831004087
Gillian Robertson,nan
Tafon Nchukwi,nan
Christos Giagos,-0.12263198095558298
Renato Moicano,-0.10271871139221134
Mackenzie Dern,nan
