night,fighter_A,fighter_B,winner
1,166,597,fighter_A
1,799,43,fighter_A
1,631,421,fighter_A
1,263,730,fighter_A
1,544,648,fighter_A
1,28,104,fighter_A
1,115,606,fighter_B
1,888,534,fighter_A
1,477,529,fighter_A
2,82,890,fighter_B
2,883,537,fighter_A
2,686,685,fighter_A
2,981,608,fighter_A
2,218,900,fighter_B
2,234,304,fighter_B
2,880,903,fighter_B
2,309,548,fighter_A
2,837,842,fighter_B
3,284,457,fighter_B
3,11,882,fighter_A
3,379,497,fighter_B
3,186,245,fighter_A
3,985,673,fighter_B
3,605,595,fighter_B
3,132,450,fighter_A
3,440,541,fighter_A
3,185,458,fighter_A
4,428,259,fighter_B
4,594,460,fighter_A
4,140,915,fighter_B
4,999,841,fighter_A
4,844,681,fighter_B
4,9,860,fighter_B
4,906,464,fighter_B
4,903,275,fighter_B
4,730,569,fighter_B
5,939,610,fighter_A
5,312,946,fighter_B
5,665,144,fighter_A
5,804,962,fighter_A
5,181,553,fighter_B
5,829,760,fighter_A
5,0,377,fighter_A
5,113,518,fighter_A
5,900,461,fighter_B
6,703,274,fighter_B
6,733,352,fighter_B
6,943,813,fighter_B
6,289,952,fighter_A
6,187,783,fighter_B
6,269,364,fighter_B
6,844,244,fighter_B
6,137,701,fighter_A
6,993,400,fighter_B
7,135,753,fighter_B
7,384,774,fighter_A
7,232,300,fighter_A
7,329,27,fighter_A
7,991,35,fighter_B
7,998,317,fighter_B
7,391,97,fighter_A
7,10,70,fighter_B
7,881,182,fighter_A
8,62,426,fighter_B
8,880,162,fighter_B
8,985,491,fighter_B
8,44,963,fighter_A
8,861,180,fighter_B
8,218,310,fighter_A
8,248,708,fighter_A
8,606,338,fighter_A
8,733,624,fighter_A
9,587,68,fighter_B
9,17,360,fighter_B
9,786,64,fighter_A
9,707,967,fighter_A
9,290,350,fighter_B
9,345,168,fighter_B
9,298,620,fighter_A
9,782,897,fighter_B
9,823,970,fighter_B
10,518,73,fighter_B
10,634,524,fighter_A
10,743,1,fighter_B
10,441,258,fighter_A
10,233,715,fighter_A
10,938,32,fighter_B
10,727,58,fighter_A
10,726,14,fighter_A
10,732,549,fighter_A
11,445,523,fighter_B
11,243,72,fighter_B
11,30,492,fighter_A
11,687,543,fighter_B
11,271,482,fighter_B
11,126,967,fighter_A
11,853,886,fighter_B
11,828,560,fighter_B
11,647,689,fighter_B
12,828,507,fighter_B
12,966,358,fighter_B
12,847,133,fighter_B
12,75,11,fighter_B
12,29,59,fighter_A
12,747,799,fighter_A
12,758,357,fighter_A
12,754,866,fighter_A
12,495,637,fighter_A
13,446,499,fighter_A
13,800,250,fighter_B
13,257,260,fighter_A
13,219,510,fighter_A
13,120,71,fighter_B
13,200,361,fighter_B
13,346,553,fighter_B
13,601,674,fighter_A
13,92,210,fighter_A
14,712,709,fighter_A
14,825,16,fighter_B
14,752,758,fighter_A
14,571,8,fighter_B
14,749,900,fighter_B
14,650,143,fighter_A
14,216,502,fighter_A
14,336,912,fighter_A
14,18,4,fighter_B
15,441,94,fighter_B
15,889,40,fighter_B
15,35,264,fighter_B
15,278,298,fighter_A
15,770,26,fighter_A
15,292,334,fighter_B
15,863,557,fighter_B
15,996,754,fighter_B
15,762,37,fighter_B
16,166,266,fighter_A
16,583,100,fighter_A
16,743,930,fighter_B
16,436,60,fighter_A
16,469,489,fighter_B
16,240,428,fighter_A
16,666,72,fighter_B
16,490,344,fighter_B
16,757,304,fighter_B
17,283,113,fighter_B
17,669,174,fighter_B
17,366,703,fighter_A
17,181,162,fighter_B
17,487,751,fighter_B
17,318,633,fighter_B
17,250,460,fighter_B
17,857,806,fighter_A
17,645,939,fighter_A
18,277,68,fighter_A
18,849,740,fighter_B
18,735,824,fighter_B
18,939,764,fighter_A
18,211,12,fighter_A
18,18,66,fighter_A
18,835,971,fighter_B
18,318,551,fighter_A
18,413,77,fighter_A
19,256,862,fighter_A
19,21,798,fighter_A
19,716,75,fighter_A
19,705,429,fighter_B
19,162,482,fighter_A
19,120,355,fighter_B
19,803,972,fighter_A
19,786,514,fighter_A
19,166,659,fighter_A
20,627,291,fighter_B
20,340,684,fighter_B
20,568,69,fighter_B
20,662,788,fighter_A
20,915,139,fighter_B
20,622,350,fighter_B
20,123,580,fighter_A
20,113,83,fighter_B
20,699,419,fighter_A
21,658,755,fighter_A
21,1,754,fighter_A
21,662,152,fighter_A
21,434,7,fighter_B
21,325,764,fighter_A
21,198,633,fighter_A
21,444,645,fighter_B
21,108,904,fighter_A
21,192,757,fighter_B
22,744,408,fighter_B
22,511,320,fighter_B
22,405,527,fighter_B
22,810,73,fighter_A
22,480,559,fighter_B
22,522,939,fighter_A
22,135,47,fighter_A
22,274,891,fighter_B
22,426,173,fighter_A
23,963,182,fighter_A
23,871,758,fighter_B
23,381,406,fighter_A
23,793,438,fighter_B
23,372,249,fighter_B
23,75,852,fighter_B
23,2,789,fighter_B
23,809,764,fighter_A
23,208,926,fighter_A
24,663,977,fighter_A
24,340,795,fighter_A
24,437,691,fighter_A
24,787,178,fighter_B
24,242,514,fighter_A
24,603,629,fighter_B
24,773,58,fighter_B
24,662,828,fighter_A
24,756,415,fighter_A
25,364,926,fighter_A
25,193,825,fighter_B
25,46,596,fighter_A
25,389,143,fighter_B
25,371,603,fighter_B
25,9,556,fighter_B
25,191,37,fighter_A
25,167,692,fighter_A
25,55,340,fighter_B
26,984,213,fighter_B
26,378,400,fighter_A
26,548,587,fighter_A
26,628,729,fighter_A
26,741,665,fighter_B
26,234,993,fighter_A
26,141,871,fighter_A
26,370,688,fighter_B
26,31,427,fighter_B
27,521,284,fighter_B
27,337,885,fighter_B
27,415,770,fighter_A
27,462,564,fighter_A
27,888,795,fighter_B
27,763,907,fighter_A
27,262,379,fighter_A
27,515,446,fighter_A
27,692,528,fighter_A
28,226,704,fighter_A
28,720,189,fighter_B
28,311,76,fighter_A
28,761,425,fighter_A
28,641,297,fighter_B
28,390,83,fighter_A
28,617,913,fighter_A
28,738,324,fighter_B
28,602,310,fighter_A
29,351,339,fighter_A
29,731,435,fighter_A
29,896,620,fighter_B
29,323,737,fighter_B
29,276,253,fighter_B
29,342,555,fighter_B
29,288,626,fighter_B
29,299,24,fighter_A
29,853,998,fighter_A
30,494,347,fighter_A
30,244,601,fighter_B
30,165,582,fighter_B
30,399,841,fighter_B
30,691,935,fighter_B
30,812,93,fighter_B
30,101,277,fighter_A
30,446,846,fighter_A
30,111,238,fighter_B
31,673,507,fighter_B
31,561,779,fighter_A
31,599,184,fighter_A
31,743,193,fighter_A
31,205,41,fighter_B
31,394,281,fighter_B
31,161,20,fighter_A
31,872,214,fighter_B
31,317,423,fighter_B
32,950,949,fighter_B
32,442,192,fighter_A
32,887,564,fighter_B
32,622,417,fighter_B
32,297,451,fighter_A
32,579,115,fighter_A
32,893,180,fighter_A
32,155,572,fighter_A
32,920,323,fighter_B
33,163,11,fighter_B
33,630,237,fighter_B
33,446,654,fighter_B
33,319,644,fighter_B
33,676,590,fighter_B
33,566,442,fighter_B
33,838,367,fighter_A
33,723,436,fighter_B
33,211,852,fighter_B
34,123,240,fighter_B
34,812,793,fighter_B
34,906,1,fighter_B
34,617,802,fighter_B
34,584,453,fighter_B
34,962,535,fighter_B
34,158,714,fighter_A
34,200,651,fighter_B
34,343,323,fighter_B
35,989,639,fighter_A
35,77,960,fighter_B
35,492,642,fighter_B
35,207,652,fighter_B
35,766,949,fighter_A
35,66,130,fighter_B
35,728,491,fighter_B
35,251,827,fighter_B
35,565,86,fighter_A
36,380,487,fighter_B
36,62,613,fighter_A
36,624,444,fighter_B
36,885,766,fighter_B
36,367,556,fighter_A
36,671,100,fighter_A
36,840,742,fighter_A
36,660,249,fighter_B
36,764,849,fighter_B
37,870,479,fighter_B
37,504,355,fighter_A
37,128,684,fighter_A
37,105,111,fighter_B
37,589,190,fighter_A
37,305,407,fighter_A
37,200,272,fighter_B
37,594,212,fighter_B
37,332,990,fighter_B
38,295,301,fighter_A
38,147,553,fighter_B
38,192,296,fighter_B
38,751,622,fighter_B
38,554,692,fighter_A
38,85,431,fighter_B
38,353,306,fighter_B
38,596,157,fighter_B
38,604,372,fighter_A
39,727,550,fighter_A
39,539,667,fighter_A
39,54,568,fighter_B
39,352,781,fighter_B
39,39,52,fighter_A
39,648,633,fighter_A
39,101,537,fighter_B
39,546,224,fighter_A
39,106,45,fighter_B
40,61,196,fighter_B
40,592,844,fighter_A
40,846,859,fighter_A
40,187,743,fighter_A
40,698,994,fighter_A
40,910,95,fighter_B
40,343,648,fighter_B
40,320,352,fighter_A
40,307,921,fighter_A
41,227,720,fighter_B
41,593,133,fighter_A
41,890,325,fighter_B
41,306,953,fighter_B
41,961,334,fighter_B
41,929,569,fighter_B
41,724,712,fighter_A
