fighter,nFights
0,1
1,5
2,4
3,4
4,1
5,5
6,4
7,2
8,0
9,2
10,4
11,3
12,4
13,3
14,3
15,1
16,5
17,4
18,4
19,1
20,4
21,3
22,4
23,7
24,5
25,2
26,4
27,3
28,6
29,7
30,3
31,3
32,5
33,6
34,3
35,4
36,2
37,3
38,3
39,3
40,1
41,5
42,2
43,3
44,3
45,6
46,5
47,4
48,5
49,5
50,2
51,4
52,5
53,5
54,2
55,5
56,4
57,3
58,4
59,6
60,3
61,2
62,6
63,2
64,3
65,3
66,3
67,7
68,5
69,1
70,4
71,3
72,6
73,3
74,5
75,4
76,5
77,3
78,4
79,4
80,3
81,5
82,6
83,3
84,2
85,3
86,5
87,1
88,5
89,2
90,2
91,3
92,6
93,1
94,4
95,7
96,1
97,3
98,4
99,1
100,4
101,3
102,6
103,2
104,1
105,4
106,3
107,6
108,3
109,4
110,1
111,1
112,3
113,3
114,4
115,5
116,2
117,2
118,2
119,7
120,6
121,2
122,1
123,6
124,8
125,2
126,1
127,6
128,2
129,1
130,1
131,6
132,3
133,4
134,6
135,4
136,6
137,6
138,2
139,5
140,4
141,4
142,3
143,6
144,5
145,5
146,4
147,6
148,1
149,3
150,2
151,2
152,2
153,3
154,3
155,5
156,2
157,2
158,1
159,6
160,2
161,5
162,0
163,2
164,3
165,5
166,4
167,3
168,5
169,3
170,5
171,2
172,4
173,3
174,1
175,1
176,5
177,6
178,1
179,8
180,4
181,3
182,4
183,5
184,7
185,3
186,3
187,3
188,1
189,4
190,4
191,4
192,2
193,2
194,5
195,6
196,6
197,2
198,3
199,1
200,5
201,4
202,4
203,1
204,3
205,4
206,6
207,4
208,4
209,7
210,7
211,6
212,7
213,1
214,2
215,3
216,5
217,3
218,6
219,2
220,2
221,2
222,4
223,3
224,5
225,6
226,2
227,3
228,4
229,6
230,6
231,3
232,6
233,5
234,1
235,7
236,4
237,1
238,5
239,5
240,4
241,2
242,3
243,4
244,1
245,4
246,3
247,3
248,5
249,6
250,1
251,4
252,6
253,3
254,2
255,1
256,1
257,2
258,4
259,3
260,3
261,3
262,2
263,1
264,5
265,1
266,2
267,7
268,2
269,2
270,4
271,3
272,3
273,5
274,6
275,4
276,3
277,2
278,4
279,5
280,2
281,3
282,3
283,2
284,6
285,4
286,4
287,4
288,1
289,1
290,4
291,5
292,3
293,5
294,5
295,6
296,6
297,5
298,1
299,2
300,6
301,4
302,3
303,7
304,5
305,1
306,4
307,1
308,3
309,5
310,4
311,3
312,4
313,3
314,4
315,4
316,3
317,3
318,3
319,2
320,4
321,1
322,8
323,5
324,4
325,3
326,2
327,5
328,5
329,3
330,6
331,5
332,3
333,2
334,3
335,3
336,3
337,2
338,3
339,3
340,3
341,3
342,1
343,3
344,2
345,4
346,2
347,2
348,3
349,3
350,8
351,2
352,4
353,2
354,4
355,3
356,7
