fighter,nFights
0,5
1,9
2,8
3,2
4,7
5,4
6,6
7,8
8,3
9,3
10,5
11,6
12,1
13,5
14,5
15,1
16,4
17,3
18,8
19,4
20,3
21,3
22,2
23,1
24,5
25,1
26,4
27,4
28,4
29,3
30,1
31,3
32,3
33,2
34,8
35,4
36,1
37,4
38,3
39,5
40,5
41,2
42,3
43,7
44,4
45,7
46,4
47,4
48,4
49,5
50,3
51,1
52,2
53,4
54,6
55,5
56,3
57,2
58,5
59,3
60,3
61,5
62,6
63,5
64,2
65,4
66,2
67,7
68,4
69,4
70,3
71,8
72,6
73,5
74,7
75,3
76,2
77,4
78,3
79,5
80,1
81,2
82,3
83,3
84,5
85,5
86,6
87,5
88,1
89,2
90,2
91,3
92,5
93,5
94,2
95,2
96,2
97,7
98,4
99,5
100,1
101,3
102,5
103,3
104,2
105,5
106,9
107,2
108,3
109,3
110,4
111,3
112,4
113,4
114,6
115,3
116,6
117,2
118,7
119,3
120,4
121,4
122,6
123,1
124,4
125,4
126,2
127,6
128,4
129,3
130,2
131,6
132,2
133,5
134,4
135,4
136,1
137,5
138,2
139,5
140,6
141,5
142,3
143,3
144,4
145,2
146,4
147,3
148,5
149,7
150,3
151,5
152,6
153,3
154,3
155,8
156,4
157,7
158,4
159,2
160,4
161,4
162,3
163,6
164,1
165,3
166,3
167,1
168,4
169,1
170,5
171,3
172,5
173,2
174,2
175,3
176,3
177,3
178,4
179,5
180,9
181,3
182,2
183,1
184,5
185,4
186,3
187,1
188,5
189,5
190,2
191,6
192,4
193,7
194,3
195,6
196,4
197,1
198,4
199,3
200,5
201,3
202,4
203,3
204,4
205,2
206,3
207,1
208,8
209,2
210,4
211,5
212,5
213,4
214,3
215,6
216,4
217,2
218,5
219,2
220,3
221,2
222,1
223,3
224,1
225,6
226,4
227,2
228,7
229,5
230,5
231,3
232,3
233,4
234,1
235,5
236,3
237,2
238,3
239,5
240,6
241,3
242,1
243,4
244,3
245,4
246,3
247,4
248,3
249,4
250,3
251,6
252,1
253,4
254,6
255,2
256,2
257,2
258,4
259,3
260,4
261,4
262,2
263,3
264,2
265,6
266,2
267,2
268,1
269,1
270,6
271,2
272,2
273,5
274,2
275,1
276,2
277,4
278,5
279,2
280,5
281,3
282,1
283,1
284,3
285,5
286,2
287,5
288,2
289,3
290,5
291,5
292,4
293,4
294,1
295,2
296,2
297,2
298,4
299,1
300,3
301,5
302,3
303,2
304,6
305,1
306,2
307,5
308,4
309,1
310,2
311,6
312,2
313,3
314,9
315,2
316,7
317,3
318,2
319,1
320,4
321,2
322,2
323,4
324,3
325,5
326,4
327,4
328,3
329,5
330,2
331,3
332,1
333,3
334,5
335,4
336,3
337,5
338,3
339,5
340,1
341,4
342,5
343,1
344,6
345,6
346,3
347,3
348,2
349,5
350,7
351,2
352,4
353,4
354,6
355,7
356,3
357,2
358,3
359,2
360,1
361,3
362,3
363,5
364,3
365,5
366,5
367,1
368,7
369,4
370,3
371,1
372,4
373,4
374,1
375,2
376,1
377,1
378,2
379,3
380,5
381,4
382,2
383,3
384,2
385,6
386,6
387,1
388,4
389,4
390,9
391,1
392,5
393,9
394,8
395,4
396,3
397,2
398,4
399,4
400,5
401,2
402,4
403,2
404,3
405,2
406,4
407,2
408,2
409,5
410,5
411,4
412,7
413,2
414,7
415,4
416,4
417,3
418,4
419,6
420,1
421,6
422,6
423,4
424,4
425,3
426,4
427,3
428,5
429,1
430,4
431,2
432,3
433,4
434,7
435,4
436,6
437,6
438,5
439,5
440,6
441,7
442,6
443,1
444,3
445,3
446,2
447,4
448,4
449,4
450,1
451,4
452,3
453,1
454,3
455,1
456,3
457,2
458,3
459,2
460,4
461,2
462,2
463,4
464,4
465,7
466,2
467,3
468,1
469,2
470,3
471,6
472,6
473,5
474,1
475,4
476,3
477,2
478,6
479,6
480,3
481,2
482,6
483,3
484,2
485,2
486,2
487,1
488,2
489,1
490,3
491,4
492,4
493,3
494,5
495,4
496,5
497,5
498,2
499,1
500,4
501,5
502,3
503,3
504,3
505,4
506,3
507,1
508,5
509,6
510,3
511,3
512,4
513,4
514,3
515,5
516,1
517,2
518,5
519,5
520,2
521,2
522,3
523,2
524,1
525,3
526,4
527,5
528,4
529,2
530,1
531,3
532,3
533,2
534,4
535,5
536,2
537,2
538,3
539,1
540,3
541,5
542,5
543,1
544,2
545,4
546,3
547,1
548,5
549,2
550,3
551,4
552,3
553,2
554,5
555,5
